st_x,st_y,gid,nombre,distrito,uv,mz,barrio,direccion,estado,categoria,nombre_sept,nivel,point_x,point_y,geom,dependencia,estado_cuarentena,estado_c
479786.0753,8032511.9509,37,Mercado La Ramada,11,10,24, ,C/Suto Esq. C/Amboro,Mercado Usufructo,Distrital,MERCADO LA RAMADA,MINORISTA,-63.1907251535,-17.7947504393,010100000070711B4DA8481D41AC8BDBFC3FA45E41,Usufructo,f,0
479295.3579,8033718.1037,14,Mercado San Luis,1,31,17A,Barrio San Luis,2 anillo Av. Roca yCoronado,Mercado Privado,Vecinal,MERCADO SAN LUIS,MINORISTA,-63.1953433630,-17.7838437198,010100000070567D6EFD401D415305A3866DA55E41,Privado,f,0
478493.8241,8034314.116,13,Mercado 4 de Noviembre,1,31,39,Av. Centenario  y 3 anillo,Av. Centenario  y 3 anillo,Mercado Usufructo,Vecinal,MERCADO 4 DE NOVIEMBRE,MINORISTA,-63.2028995280,-17.7784488021,0101000000D0DEE04B77341D41448B6C8702A65E41,Usufructo,f,0
481959.9055,8031886.8619,22,Mercado El Trompillo,3,25,12A,B. El Trompillo,C/José Mercado Aguado,Mercado Usufructo,Vecinal,MERCADO EL TROMPILLO,MINORISTA,-63.1702197631,-17.8004193998,010100000060643B9F9F6A1D419E5E29B7A3A35E41,Usufructo,f,0
485947.1359,8032145.1696,40,Mercado Coarco,7,86,E10B, ,entre C/12 este C/ 13 este,Mertcado Privado,Barrial,MERCADO COARCO,MINORISTA,-63.1325960689,-17.7981137224,0101000000A05E298BECA81D41F5B9DA4AE4A35E41,Privado,f,0
480042.3422,8036897.4739,12,Mercado Belen,1,60,,Radial 26 C/ Los Guapos,Radial 26 C/ Los Guapos,Mercado Municipal,Vecinal,MERCADO BÉLEN,MINORISTA,-63.1882656918,-17.7551129188,010100000040AD695EA94C1D41AA60545E88A85E41,GAMSCS,f,0
480960.0821,8036924.2391,15,Mercado 12 de Octubre,1,62,,B. 12 de Octubre,C/ 8 y Antonio Vicente Ardaya,Mercado Municipal,Vecinal,MERCADO 12 DE OCTUBRE,MINORISTA,-63.1796082071,-17.7548791139,0101000000C0051254005B1D41166A4D0F8FA85E41,GAMSCS,f,0
479914.1894,8030723.7733,27,Mercado Santa Rosa,4,27,,B. Alto San Pedro,3er anillo yAv.Prefecto R.,Mercado Municipal,Distrital,MERCADO SANTA ROSA (ALTO SAN PEDRO),MINORISTA,-63.1895334231,-17.8109145447,0101000000D012F2C1A84A1D4148BF7DF180A25E41,GAMSCS,f,0
485580.767510047,8029362.06179649,41,Mercado El Progreso,8,150,, , , ,Vecinal,MERCADO EL PROGRESO,MINORISTA,-63.1360720137,-17.8232672755,01010000005D27EE1133A31D413F79F4832CA15E41,GAMSCS,f,0
489462.089,8026242.2863,57,Mercado Guapurú,8,250,,,Santa Cruz de la Sierra,,vecinal,Mercado Guapurú,MINORISTA,-63.0994603001,-17.8514883001,0101000000E0D0225BD8DF1D413CBD5292209E5E41,GAMSCS,f,0
487477.904,8029927.339,58,Mercado La Campana,8,102,,,"Unnamed Road, Santa Cruz de la Sierra",,vecinal,Mercado La Campana,MINORISTA,-63.1181657001,-17.8181695004,0101000000102DB29DD7C01D410E2DB2D5B9A15E41,GAMSCS,f,0
488285.1667,8027347.5172,61,Mercado Los Pocitos,8,161,,,"Entel - Plan 3000, Santa Cruz de la Sierra",,vecinal,Mercado Los Pocitos,MINORISTA,-63.1105622998,-17.8414924004,0101000000A067B3AA74CD1D4107CE19E1349F5E41,GAMSCS,f,0
479340.7165,8024411.6878,62,Mercado Max Fernandez,9,133,,,Santa Cruz de la Sierra,,vecinal,Mercado Max Fernandez,MINORISTA,-63.1950069002,-17.8679625004,0101000000102DB2DDB2411D414BEA04EC569C5E41,GAMSCS,f,0
478640.7692,8029020.5768,64,Mercado Municipal La Cuchilla,10,108,,,"Avenida Moscú, Santa Cruz de la Sierra",,vecinal,Mercado Municipal La Cuchilla,MINORISTA,-63.2015669003,-17.8262972996,0101000000302AA913C3361D418C4AEA24D7A05E41,GAMSCS,f,0
474661.3439,8027858.681,73,Mercado 25 Mayo,10,ET84,32,,Santa Cruz de la Sierra,,vecinal,Mercado 25 Mayo,,-63.2391344997,-17.8367570004,01010000005052276095F81C41068195ABB49F5E41,GAMSCS,f,0
479923.6146,8030732.7713,51,Mercado De Alto San Pedro De Comestibles y Material De Ferreteria,4,27,,,"Av Roque Aguilera y, Santa Cruz de la Sierra",,vecinal,Mercado De Alto San Pedro De Comestibles y Material De Ferreteria,MINORISTA,-63.1894443997,-17.8108333001,0101000000D0B35975CE4A1D41ADFA5C3183A25E41,GAMSCS,f,0
484337.2944,8026712.9439,52,Mercado el Fuerte,12,168,,,"Av El Fuerte, Santa Cruz de la Sierra",,vecinal,Mercado el Fuerte,MINORISTA,-63.1478262000,-17.8472035003,01010000009031772DC58F1D418CDB683C969E5E41,GAMSCS,f,0
485597.2157,8029346.7814,54,Mercado El Progreso,8,150,,,"Calle 9, Santa Cruz de la Sierra",,vecinal,Mercado El Progreso,MINORISTA,-63.1359168997,-17.8234054996,0101000000F075E0DC74A31D41257502B228A15E41,GAMSCS,f,0
491376.1673,8026731.1991,55,Mercado El Quior,8,250,,,Santa Cruz de la Sierra,,vecinal,Mercado El Quior,MINORISTA,-63.0813925996,-17.8470775000,0101000000F0B050ABC0FD1D41ED0DBECC9A9E5E41,GAMSCS,f,0
488551.8114,8034452.8637,72,Mercado 7 de Abril,7,85B,10,,Santa Cruz de la Sierra,,vecinal,Mercado 7 de Abril,MINORISTA,-63.1080070996,-17.7772700004,010100000040A4DF3E9FD11D415DDC463725A65E41,GAMSCS,f,0
480735.3755,8026262.1281,65,Mercado Santa Cruz Sur,9,ET41,,,"Nuevo Palmar, Santa Cruz de la Sierra",,vecinal,Mercado Santa Cruz Sur,MINORISTA,-63.1818254999,-17.8512496004,0101000000701283807D571D4158CA3288259E5E41,GAMSCS,f,0
