id,nombre_lugar,id_distrito,fecha,geom,point_x,point_y,uv,nombre
143,MERCADO MOVILES,2,2020-04-21,0101000000E075BB9E318E1D41911B563E72A75E41,-63.1487104435,-17.7652026125,40,Distrito Urbano 2
144,MERCADO MOVILES,2,2020-04-21,0101000000B06D0F82E1901D41470F543352A65E41,-63.1470966165,-17.7756181150,42,Distrito Urbano 2
145,MERCADO MOVILES,7,2020-04-21,01010000007038B147E29D1D41E9540AA7A0A45E41,-63.1392575904,-17.7912988915,81,Distrito Urbano 7
146,MERCADO MOVILES,7,2020-04-21,0101000000700F55B8E4981D41288A6801A1A35E41,-63.1422784020,-17.8005396938,91,Distrito Urbano 7
147,MERCADO MOVILES,3,2020-04-21,01010000003084E850AE9A1D41E2D374ABDBA25E41,-63.1412045884,-17.8076751844,91A,Distrito Urbano 3
148,MERCADO MOVILES,3,2020-04-21,0101000000B044B37233971D419346DDBC6CA25E41,-63.1433093490,-17.8116844191,92,Distrito Urbano 3
149,MERCADO MOVILES,9,2020-04-21,0101000000F0A26DBCAB611D41288A683154A05E41,-63.1756560994,-17.8310568575,106,Distrito Urbano 9
150,MERCADO MOVILES,9,2020-04-21,010100000080BB711288421D41265FE1622FA05E41,-63.1944651083,-17.8323697886,117,Distrito Urbano 9
151,MERCADO MOVILES,10,2020-04-21,0101000000F0CDF452D42E1D410B30048EFEA05E41,-63.2063562872,-17.8248674114,118,Distrito Urbano 10
152,MERCADO MOVILES,10,2020-04-21,0101000000F079112D872A1D412CE076165DA15E41,-63.2089501519,-17.8214468128,118,Distrito Urbano 10
153,MERCADO MOVILES,10,2020-04-21,0101000000C0C7733D70231D41CACF1E6DEBA15E41,-63.2132257797,-17.8162959429,ET74,Distrito Urbano 10
154,MERCADO MOVILES,1,2020-04-21,010100000050B3C5F5C80D1D41553C06B181A35E41,-63.2262844250,-17.8015927289,112A,Distrito Urbano 1
155,MERCADO MOVILES,1,2020-04-21,0101000000F0F87BE9A5101D41FF2DD986DCA45E41,-63.2245397795,-17.7890548791,112A,Distrito Urbano 1
156,MERCADO MOVILES,1,2020-04-21,010100000040B19A6E3F121D416AEA4D7A2CA55E41,-63.2235702297,-17.7861653507,55A,Distrito Urbano 1
158,MERCADO MOVILES,1,2020-04-21,0101000000302EDAA3FB491D41886F39FC13AA5E41,-63.1898677697,-17.7408077190,PSU5,Distrito Urbano 1
159,MERCADO MOVILES,5,2020-04-21,0101000000102A8495DF5A1D412AB5EFF771AA5E41,-63.1796680122,-17.7374193234,68,Distrito Urbano 5
160,MERCADO MOVILES,5,2020-04-21,0101000000A0405D6486681D4184192B5F1DAA5E41,-63.1714299035,-17.7404853211,65,Distrito Urbano 5
161,MERCADO MOVILES,5,2020-04-21,0101000000C046DE79B7791D413B0D2924B2A95E41,-63.1610551026,-17.7443710719,66,Distrito Urbano 5
162,MERCADO MOVILES,5,2020-04-21,0101000000F079112DFD871D418FF0CEAF54A95E41,-63.1524419239,-17.7477568380,67,Distrito Urbano 5
163,MERCADO MOVILES,16,2020-04-21,010100000020D6A0EF508C1D41553C06E935A95E41,-63.1498305157,-17.7488715864,71,Distrito Industrial
164,MERCADO MOVILES,7,2020-04-21,0101000000B0192CDCD9A61D418644B2C521A55E41,-63.1338393323,-17.7866343131,140,Distrito Urbano 7
165,MERCADO MOVILES,7,2020-04-21,01010000008090EA7B7AA41D41418EBE8786A35E41,-63.1352831634,-17.8015018740,93,Distrito Urbano 7
166,MERCADO MOVILES,7,2020-04-21,0101000000903E325D6AB11D41493ADB495DA55E41,-63.1274586258,-17.7844867443,84B,Distrito Urbano 7
167,MERCADO MOVILES,7,2020-04-21,0101000000B0989618CBB21D410159601D81A45E41,-63.1266322484,-17.7924477221,86,Distrito Urbano 7
168,MERCADO MOVILES,7,2020-04-21,0101000000E077E6A52FB21D410B30043E03A45E41,-63.1270021374,-17.7969984339,89,Distrito Urbano 7
