gid,objectid,name,snippet,haslabel,labelid,point_x,point_y,geom
37,37,Hipermaxi Mutualista,"zona Mutualista, Tercer Anillo Externo, Santa Cruz de la Sierra",-1,0,-63.1587096001,-17.7657748001,0101000000009A081BA27D1D418BFD653362A75E41
38,38,Supermercado Pronto,"Av. Sta. Cruz, Santa Cruz de la Sierra",-1,0,-63.1661178997,-17.7746245998,010100000030E6AE6560711D4160764F426DA65E41
39,39,Makro Parque,"Av Cuarto Anillo y, Santa Cruz de la Sierra",-1,0,-63.1474896000,-17.7650906997,0101000000F0D9AC3A37901D41A60A465D75A75E41
40,40,Hipermaxi Embutidos Fabrica,Santa Cruz de la Sierra,-1,0,-63.1340450998,-17.7726783000,0101000000003411367EA61D410EBE30C5A3A65E41
41,41,Hipermaxi La Pampa,"4 Oeste, Santa Cruz de la Sierra",-1,0,-63.1244885004,-17.7717552001,0101000000F0F44AD951B61D41D49AE679BDA65E41
42,42,Fidalga Cotoca,Km. 8 Doble Via a Cotoca,-1,0,-63.1044874003,-17.7657307004,0101000000E06800AF70D71D414547726D64A75E41
43,43,Pampa De La Isla,Santa Cruz de la Sierra,-1,0,-63.1151462002,-17.7676244003,010100000060CC5DCBC9C51D417DAEB6E22FA75E41
44,44,Mercado,,-1,0,-63.0967340991,-17.7646022000,0101000000C064AAE047E41D41273108C083A75E41
45,45,Hipermaxi,"Av Tres Pasos Al Frente, Santa Cruz de la Sierra",-1,0,-63.1608210000,-17.7953405000,0101000000C0293A122E7A1D4104560E6930A45E41
46,46,Hipermaxi Villa 1° de Mayo,"Calle 10 Este, Santa Cruz de la Sierra",-1,0,-63.1341808004,-17.7979264002,0101000000500C02AB4CA61D4196218E71E9A35E41
47,47,PUNTO,"Avenida 3 Pasos Al Frente, Santa Cruz de la Sierra",-1,0,-63.1058064002,-17.8076089003,010100000000098ADF4BD51D41BB270F1FDEA25E41
48,48,Hipermaxi Plan 3000,Santa Cruz de la Sierra,-1,0,-63.1322653995,-17.8355810004,010100000030B29D6F84A91D413FC6DC01D89F5E41
49,49,Placemark,"Avenida Principal Plan 3 Mil, Santa Cruz de la Sierra",-1,0,-63.1385316998,-17.8287696001,0101000000F0263148229F1D418FE4F24794A05E41
50,50,Super Sur Fidalga SRL Central,"Av. Rene Moreno # 212 esquina, Diego de Mendoza, Santa Cruz de la Sierra",-1,0,-63.1800008003,-17.7937629003,0101000000301AC05B6A5A1D419CA223955BA45E41
51,51,Hipermaxi,Santa Cruz de la Sierra,-1,0,-63.1812914003,-17.7942153001,0101000000C042AD6947581D41454772094FA45E41
52,52,HiperMaxi Centro,Santa Cruz de la Sierra,-1,0,-63.1790471000,-17.7884774996,010100000080FB3A70FC5B1D41061214CBEDA45E41
53,53,Hipermaxi Florida,"Florida, Santa Cruz de la Sierra",-1,0,-63.1835478997,-17.7819361000,0101000000C06B097985541D41499D809AA2A55E41
54,54,Hipermaxi Cañoto,"Avenida Cañoto, Santa Cruz de la Sierra",-1,0,-63.1882783997,-17.7788501996,0101000000204A7B83AE4C1D419FABADD4F7A55E41
55,55,Supermercado Ekko Fidalga,"Avenida Cañoto 202, Santa Cruz de la Sierra",-1,0,-63.1883871998,-17.7791209997,010100000080C95481804C1D4126E48356F0A55E41
56,56,Supermercados Tia,"24 de septiembre, Santa Cruz de la Sierra",-1,0,-63.1817440999,-17.7788212997,0101000000202FDDE480571D4101DE02CDF8A55E41
57,57,CHINBOL,"Centro,, Santa Cruz de la Sierra",-1,0,-63.1740786999,-17.7833436998,010100000030211FB434641D4107CE19E97BA55E41
58,58,Macro Fidalga,"G.Velasco, Santa Cruz de la Sierra",-1,0,-63.1733265997,-17.7766503004,0101000000A02A18D570651D414694F60E35A65E41
59,59,Supermercado Okinawa,"Calle Quijarro, Santa Cruz de la Sierra",-1,0,-63.1785435001,-17.7766148999,010100000070D712F2CC5C1D41B30C71E835A65E41
60,60,Yuri Market,"0000, Santa Cruz de la Sierra",-1,0,-63.1784891003,-17.7768940001,0101000000C064AA20E45C1D4175029A302EA65E41
