Departamento,Tipo,Nombre ,Direccion,Telefono,Latitud,Longitud,Fuente
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. Circunvalación y Melchor Peréz,4 4258030,-17.359252,-66.172070,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,"OTB Colquiri Norte, sede",4 4258030,-17.354623,-66.180253,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. Hernán Siles y Porfirio Diaz Machicado,4 4258030,-17.357259,-66.165183,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. Atahuallpa y Mostajo,4 4258030,-17.361927,-66.161077,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. Luis Calvo y Zarzamora,4 4258030,-17.363155,-66.151708,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Kara Kara lado colegio Juancito Pinto tinglado - D15,4 4258030,-17.473767,-66.120883,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,"Pampa San Miguel, final Av. Autonomía, tinglado - D15",4 4258030,-17.466753,-66.145647,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Kara Kara - D15,4 4258030,-17.471945,-66.130232,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Villaflores - D15,4 4258030,-17.476704,-66.121129,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Ichucollo - D15,4 4258030,-17.481132,-66.124550,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,OTB Paz Nueva Jerusalen - D9,4 4258030,-17.491074,-66.177283,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,"Colegio 1 de Mayo, cerca plaza vecinal - D9",4 4258030,-17.467023,-66.204130,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,"Itocta, templo frente al colegio - D9",4 4258030,-17.457944,-66.185038,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,"OTB Villa Oropeza, Cobol cerca colegio - D9",4 4258030,-17.483958,-66.159673,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,"OTB 21 de septiembre, tinglado - D9",4 4258030,-17.482268,-66.180290,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,"Sivingani, entrada lado del colegio - D9",4 4258030,-17.472719,-66.182749,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,"Pucarita Chica, lado del colegio - D9",4 4258030,-17.452255,-66.202087,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Albarrancho - D9,4 4258030,-17.453885,-66.244445,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Caico - D9,4 4258030,-17.451919,-66.231451,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Cobol - D9,4 4258030,-17.492215,-66.161410,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Villa Israel - D9,4 4258030,-17.494817,-66.177233,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Pucara - D9,4 4258030,-17.458082,-66.202617,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Villa Rosario - D9,4 4258030,-17.468847,-66.125691,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Pucarita Chica Urb - D9,4 4258030,-17.441523,-66.200860,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Lomas de Panamericana - D9,4 4258030,-17.500668,-66.177972,web
La Paz,Alimentos,Mercado movil-GAM La Paz,Plan Autopista,null,-16.458834,-68.147223,web
La Paz,Alimentos,Mercado movil-GAM La Paz,Santiago de Lacaya,null,-16.470522,-68.129277,web
La Paz,Alimentos,Mercado movil-GAM La Paz,"Rosasani, parque",null,-16.468492,-68.123724,web
La Paz,Alimentos,Mercado movil-GAM La Paz,Av. Francisco Bedregal rotonda Emaverde,null,-16.520143,-68.125400,web
La Paz,Alimentos,Mercado movil-GAM La Paz,"Av. Mario Mercado, Llojeta",null,-16.526610,-68.126677,web
La Paz,Alimentos,Mercado movil-GAM La Paz,"Av. 9 de abril, pasarela, final Villamil de Rada",null,-16.507097,-68.152337,web
La Paz,Alimentos,Mercado movil-GAM La Paz,Condores Lakota / Lomas del Sur / Huantaqui,null,-16.530104,-68.057658,web
La Paz,Alimentos,Mercado movil-GAM La Paz,Chijipata,null,-16.545331,-68.045255,web
