Id,Departamento,Tipo,Nombre,Direccion,Telefono,Latitud,Longitud,Fuente
6767,La Paz,Farmacia,Farmacia Pharma J4-Med 1,Av. Ballivián # 1063,NA,NA,NA,gamlp
6768,La Paz,Farmacia,Farmacia Betania,Av. Ramos Gavilán # 1955,NA,-68.15085668,-16.4685415,gamlp
6769,La Paz,Farmacia,Farmacia la Sagrada Familia,C. Landaeta # 762,NA,-68.13664006,-16.50994232,gamlp
6770,La Paz,Farmacia,Farmacia Rey David,C. Lucas Jaimes # 1915 - A,NA,-68.11733348,-16.50141582,gamlp
6771,La Paz,Farmacia,Venta de productos Farmacéuticos,C. Mercado # 1328,NA,-68.13319981,-16.49842724,gamlp
6772,La Paz,Farmacia,Farmacia Señor de Huanca,Av. 20 de Octubre # 2005,NA,NA,NA,gamlp
6773,La Paz,Farmacia,Farmacia Elyson,C. General Gonzales # 1106,NA,-68.13745069,-16.50007487,gamlp
6774,La Paz,Farmacia,Farmacia Santa Cecilia,Av. Simón Bolívar # 1999,NA,NA,NA,gamlp
6775,La Paz,Farmacia,Farmacia Multifuncional,Av. naciones Unidas # 290,NA,-68.15829914,-16.48548156,gamlp
6776,La Paz,Farmacia,Farmacia San Gerardo,Av. Saavedra # 2166,NA,-68.12071316,-16.50537778,gamlp
6777,La Paz,Farmacia,Distribución de productos Farmacéuticos,C. Capitán Ravelo # 2327,NA,NA,NA,gamlp
6778,La Paz,Farmacia,Farmacia la Plata,Av. Armentia # 656,NA,-68.13614899,-16.49134268,gamlp
6779,La Paz,Farmacia,Comercio de productos Farmacéuticos,C. Pablo Guillen # 29,NA,-68.07786663,-16.54615617,gamlp
6780,La Paz,Farmacia,Farmacia Porvenir,C. Federico Suazo # 1508,NA,NA,NA,gamlp
6781,La Paz,Farmacia,Importadora Interorbita S.R.L. Importación de productos para el Cabello-Cosméticos,Av. 20 de Octubre # 2473,NA,NA,NA,gamlp
6782,La Paz,Farmacia,Farmacia Lapachos,C. Brasil # 1584,NA,NA,NA,gamlp
6783,La Paz,Farmacia,Importación de Medicamentos,C. 20 # 7780 Esq. Inofuentes,NA,-68.07886422,-16.53761601,gamlp
6784,La Paz,Farmacia,Farmacias Farmacorp,Av. García Lanza,NA,NA,NA,gamlp
6785,La Paz,Farmacia,Farmacia Mariaca,Av. Eduardo Abaroa # 1369,NA,NA,NA,gamlp
6786,La Paz,Farmacia,Farmacia Kaliz,Av. Ramos Gavilán # 1981,NA,-68.15081794,-16.46826259,gamlp
6787,La Paz,Farmacia,Farmacorp S.A.,C. Pedro Salazar # 497,NA,NA,NA,gamlp
6788,La Paz,Farmacia,Farmacorp,C. Pedro Salazar # 497,NA,NA,NA,gamlp
6789,La Paz,Farmacia,Farmacia Noemí,Av. Baptista # 1047,NA,NA,NA,gamlp
6790,La Paz,Farmacia,Farmacia Virgen De La Merced,Av. Tejada Sorzano # 393,NA,-68.12175399,-16.48222685,gamlp
6791,La Paz,Farmacia,Farmacia Tu Salud,Av. Ciudad del Niño # 52,NA,NA,NA,gamlp
6792,La Paz,Farmacia,Farmacia Eliezer,Pza. San Martín # 2145,NA,-68.12051931,-16.50446998,gamlp
6793,La Paz,Farmacia,Farmacia y Droguería Bristol S.R.L.,C. Ingavi # 1047,NA,-68.13402149,-16.49482218,gamlp
6794,La Paz,Farmacia,Farmacias Gloria,Av. Tumusla # 416,NA,-68.14113573,-16.49399502,gamlp
6795,La Paz,Farmacia,Farmacia Galicia II,Av. Manco Kapac # 550,NA,-68.14236051,-16.4935784,gamlp
6796,La Paz,Farmacia,Farmacia Paulo VI,Av. Buenos Aires # 1450,NA,NA,NA,gamlp
6797,La Paz,Farmacia,Venta de productos Farmacéuticos,Av. Del Policía # 611,NA,NA,NA,gamlp
6798,La Paz,Farmacia,Latín Med,Av. Busch # 1944,NA,-68.12113694,-16.50219521,gamlp
6799,La Paz,Farmacia,Mi Sol Amiga,Av. Montes # 214,NA,-68.13861859,-16.49175712,gamlp
6800,La Paz,Farmacia,Farmacia O'Neil,C. Tejada Sorzano # 1174,NA,NA,NA,gamlp
6801,La Paz,Farmacia,Mifarma S.A.,C. 32 y Av. Strongest # 200,NA,NA,NA,gamlp
6802,La Paz,Farmacia,Farmacia Aries,Pza. Eguino # 389,NA,NA,NA,gamlp
6803,La Paz,Farmacia,Farmacia Dommy,Av. Juan José Torrez # 5,NA,-68.12829096,-16.47874546,gamlp
6804,La Paz,Farmacia,Farmacia Gloria,Av. Arce # 2670,NA,NA,NA,gamlp
6805,La Paz,Farmacia,Farmacia Gloria,Av. Arce,NA,NA,NA,gamlp
6806,La Paz,Farmacia,Venta Insumos Medicos,C. Díaz Romero # 1765,NA,NA,NA,gamlp
6807,La Paz,Farmacia,Farmacia Bolivia,C. Chuquisaca # 697,NA,-68.13892225,-16.49316308,gamlp
6808,La Paz,Farmacia,Venta Minorista de Insumos Medicos Tausen,C. Federico Zuazo # 1885,NA,NA,NA,gamlp
6809,La Paz,Farmacia,Venta de productos Farmacéuticos y Medicinales,C. Enrique Peñaranda # 11,NA,NA,NA,gamlp
6810,La Paz,Farmacia,Farmacia Inmaculada Concepción,Av. S. Bustamante Esq. C. 15 Torre Ketal,NA,NA,NA,gamlp
6811,La Paz,Farmacia,Farmacia Farmandrug,Av. Mariscal Santa Cruz,NA,NA,NA,gamlp
6812,La Paz,Farmacia,Farmacia Juárez I,Av. Saavedra # 2142,NA,-68.12090398,-16.50514315,gamlp
6813,La Paz,Farmacia,Gedeon Richter Bolivia S.R.L.,Av. 6 de Agosto # 2455,NA,-68.12552105,-16.50960059,gamlp
6814,La Paz,Farmacia,Importadora y Distribuidora San Sebastián,Av. Costanera # 1223,NA,NA,NA,gamlp
6815,La Paz,Farmacia,Farmacia Gloria,Av. 16 de Julio # 1456,NA,-68.1335828,-16.50106456,gamlp
6816,La Paz,Farmacia,Farmacia Italia,C. Sagarnaga # 495,NA,NA,NA,gamlp
6817,La Paz,Farmacia,Farmacia Haybar,C. Héroes de Acre # 1708,NA,-68.13444456,-16.50519191,gamlp
6818,La Paz,Farmacia,Farmacia Paris,C. Zoilo Flores # 1232,NA,NA,NA,gamlp
6819,La Paz,Farmacia,Clinilab Reactivos,Av. Ecuador # 2241,NA,-68.12942476,-16.50996257,gamlp
6820,La Paz,Farmacia,Farmacia Ojitos Virgen del Carmen,Av. Entre Ríos # 2036,NA,-68.15853387,-16.49517493,gamlp
6821,La Paz,Farmacia,Farmacia Caliz de Vida,Av. Buenos Aires # 977,NA,-68.14523651,-16.50079056,gamlp
6822,La Paz,Farmacia,Farmacia Illampu,Av. Héroes del Pacifico # 1470,NA,NA,NA,gamlp
6823,La Paz,Farmacia,Farmacia Nobel,C. León de la Barra # 974,NA,-68.14449816,-16.49965979,gamlp
6824,La Paz,Farmacia,Farmacia Bolivia,Av. 16 de Julio # 1598,NA,-68.13293665,-16.5018789,gamlp
6825,La Paz,Farmacia,Farmacia Gloria,Pza. Tejada Sorzano # 120 - Estadium,NA,-68.1246429,-16.49993917,gamlp
6826,La Paz,Farmacia,Mercaptopharma,C. Palos Blancos # 1333,NA,-68.11707292,-16.46952396,gamlp
6827,La Paz,Farmacia,Farmacia,Av. Buenos Aires # 1704,NA,NA,NA,gamlp
6828,La Paz,Farmacia,Farmacia Santa Rosa Kedi,Av. Burgaleta # 995,NA,-68.11731286,-16.48883472,gamlp
6829,La Paz,Farmacia,Farmacia José Nicolas 1,C. Lino Monasterios # 855,NA,-68.14908438,-16.49670029,gamlp
6830,La Paz,Farmacia,Icys Medical,Av. Busch Esq. S. Salvador # 1285,NA,-68.12094242,-16.49440012,gamlp
6831,La Paz,Farmacia,Almacén Central,C. 27 R. Reyes Romero # 78,NA,NA,NA,gamlp
6832,La Paz,Farmacia,Farmacia Niño Jesús,C. José María Asin # 698,NA,NA,NA,gamlp
6833,La Paz,Farmacia,Farmacia El Sol,Av. Saavedra # 2106,NA,NA,NA,gamlp
6834,La Paz,Farmacia,Farmacia Israelita,Av. Mariscal Santa Cruz # 938,NA,-68.13665727,-16.4967828,gamlp
6835,La Paz,Farmacia,Farmacias Alianza II,C. Evaristo Valle # 227,NA,-68.13820594,-16.49382158,gamlp
6836,La Paz,Farmacia,Farmacia Fabiola,Av. Brasil # 1647,NA,-68.11876472,-16.49791663,gamlp
6837,La Paz,Farmacia,Farmacia José Nicolás,Av. Sánchez Lima # 2574,NA,NA,NA,gamlp
6838,La Paz,Farmacia,Farmacia Panamericana,Av. Baptista # 823,NA,NA,NA,gamlp
