Id,Departamento,Tipo,Nombre,Direccion,Telefono,Latitud,Longitud,Fuente
7195,Santa Cruz,Mercado,Mercado Villa Ortuño,NA,NA,-17.8286180901,-63.207849899,gamsc
7196,Santa Cruz,Mercado,Mercado El Triunfo,NA,NA,-17.8608959261,-63.1546759502,gamsc
7197,Santa Cruz,Mercado,Mercado Magisterio Sur,NA,NA,-17.8708241708,-63.1781452532,gamsc
7198,Santa Cruz,Mercado,Mercado Urkupiña,NA,NA,-17.8340355126,-63.1143710654,gamsc
7199,Santa Cruz,Mercado,Mercado Turere,NA,NA,-17.8423645798,-63.1004429936,gamsc
7200,Santa Cruz,Mercado,Mercado Los Tusequis,NA,NA,-17.7416779361,-63.1543560883,gamsc
7201,Santa Cruz,Mercado,Mercado  Estacion Argentina,NA,NA,-17.8000612769,-63.1524216386,gamsc
7202,Santa Cruz,Mercado,Mercado Villa Fatima,C/ Quirusillas y El Torno,NA,-17.8130410857,-63.2026835563,gamsc
7203,Santa Cruz,Mercado,Mercado Noel Kempffp,Av. Radial 10,NA,-17.8123936313,-63.1236320819,gamsc
7204,Santa Cruz,Mercado,Mercado Primavera,5to anillo de circunvalacion y radial 12,NA,-17.8234297967,-63.1635630121,gamsc
7205,Santa Cruz,Mercado,Mercado Nuevo(Sucre),"entre C/Isabel La Catolica, C/ Sucre",NA,-17.7837490523,-63.178437776,gamsc
7206,Santa Cruz,Mercado,Mercado Las Orquideas,NA,NA,-17.8300559352,-63.1285004915,gamsc
7207,Santa Cruz,Mercado,Mercado Virgen de Lujan,NA,NA,-17.7604085816,-63.1280034412,gamsc
7208,Santa Cruz,Mercado,Mercado San Antonio,Av. El Bajio y C/Bibosi,NA,-17.826491362,-63.2273684485,gamsc
7209,Santa Cruz,Mercado,Mercado La Cuchilla,Av. Moscu y C/ 16 de Julio,NA,-17.8263303961,-63.2015264001,gamsc
7210,Santa Cruz,Mercado,Mercado Los Bosques,Av. Los Bosques. Esq. C/Coridin,NA,-17.8127321408,-63.2145417692,gamsc
7211,Santa Cruz,Mercado,Mercado copacabana,"Calle 6, Santa Cruz de la Sierra",NA,-17.8265825002,-63.1258008997,gamsc
7212,Santa Cruz,Mercado,Cooperativa Societaria 2 de junio Abasto R.L.,Santa Cruz de la Sierra,NA,-17.7948076002,-63.2042516998,gamsc
7213,Santa Cruz,Mercado,Mercado Tito Solari,Av. Lujan y El Bateon,NA,-17.7416340224,-63.1074038549,gamsc
7214,Santa Cruz,Mercado,"Mercado ""Coarco""",Santa Cruz de la Sierra,NA,-17.7979980002,-63.1325829002,gamsc
7215,Santa Cruz,Mercado,26 de Abril,"Tamarindo Seco, Santa Cruz de la Sierra",NA,-17.8299729997,-63.1745861998,gamsc
7216,Santa Cruz,Mercado,Mercado David Trapero,NA,NA,-17.7588304474,-63.1587410396,gamsc
7217,Santa Cruz,Mercado,Mercado San Juan,Av. Cumavi y C/6,NA,-17.7912607777,-63.1370522659,gamsc
7218,Santa Cruz,Mercado,Mercado Las Américas,NA,NA,-17.8572733106,-63.1954842665,gamsc
7219,Santa Cruz,Mercado,Mercado Paurito,NA,NA,-17.8818940744,-62.9398076631,gamsc
7220,Santa Cruz,Mercado,Mercado Montero Hoyos,NA,NA,-17.639543705,-62.816867871,gamsc
7221,Santa Cruz,Mercado,"Mercado ""La Ramada"" C/ámboro y muchiri",NA,NA,-17.7942392929,-63.1902163095,gamsc
7222,Santa Cruz,Mercado,Mercado Fortaleza,Santa Cruz de la Sierra,NA,-17.8631980003,-63.1608602001,gamsc
7223,Santa Cruz,Mercado,Mercado La Ramada Minorista,NA,NA,-17.8359213541,-63.2146662906,gamsc
7224,Santa Cruz,Mercado,Mercado Mutualista Abasto II,NA,NA,-17.7625926514,-63.1623677829,gamsc
7225,Santa Cruz,Mercado,Mercado Modelo Plan 3000,NA,NA,-17.8218451795,-63.1474018782,gamsc
7226,Santa Cruz,Mercado,Mercado Abasto Campesino,3er anillo ext. Av. Pirai,NA,-17.7964728158,-63.2042994949,gamsc
7227,Santa Cruz,Mercado,Mercado Abasto Mayorista,NA,NA,-17.8501287129,-63.231064879,gamsc
7228,Santa Cruz,Mercado,Mercado Los Pozos Minorista,NA,NA,-17.7254406106,-63.1482112334,gamsc
7229,Santa Cruz,Mercado,Mercado San Jose Obrero,C/Fernando Paticu y Pailon,NA,-17.7832566295,-63.15992301,gamsc
7230,Santa Cruz,Mercado,Mercado Florida,C/Florida y Buenos Aires,NA,-17.7817782764,-63.187865427,gamsc
7231,Santa Cruz,MercadoMovil,Distrito Urbano 11,ROTONDA 2DO ANILLO AV. BENI,NA,-17.7704412492,-63.1788952792,gamsc
7232,Santa Cruz,MercadoMovil,Distrito Urbano 1,ROTONDA 2DO ANILLO CRISTO REDENTOR,NA,-17.7704736411,-63.1825151843,gamsc
7233,Santa Cruz,MercadoMovil,Distrito Urbano 1,ROTONDA 2DO ANILLO CENTEnaRIO,NA,-17.7793245444,-63.1937408935,gamsc
7234,Santa Cruz,MercadoMovil,Distrito Urbano 3,ROTONDA 2DO ANILLO AV. BRASIL,NA,-17.7874318826,-63.1642970636,gamsc
7235,Santa Cruz,MercadoMovil,Distrito Urbano 4,ROTONDA 2DO ANILLO AV. LA BARRANCA,NA,-17.798074254,-63.1754118283,gamsc
7236,Santa Cruz,MercadoMovil,Distrito Urbano 11,MELCHOR PINTO PARADA,NA,-17.7829881886,-63.1721962723,gamsc
7237,Santa Cruz,MercadoMovil,Distrito Urbano 11,AV. LAS AMERICAS,NA,-17.791853275,-63.1777376157,gamsc
7238,Santa Cruz,MercadoMovil,Distrito Urbano 11,PLAZA ESPA?A / AV. ARGENTIna,NA,-17.7911819756,-63.1736048844,gamsc
7239,Santa Cruz,MercadoMovil,Distrito Urbano 11,AV. EJERCITO /AV. IRALA,NA,-17.7931848446,-63.1868561433,gamsc
7240,Santa Cruz,MercadoMovil,Distrito Urbano 11,AV. LANDIVAR,NA,-17.7844225841,-63.1888996769,gamsc
7241,Santa Cruz,MercadoMovil,Distrito Urbano 11,AV. BRASIL/ AV. VIEDMA,NA,-17.7855463762,-63.171859513,gamsc
7242,Santa Cruz,MercadoMovil,Distrito Urbano 11,CALLE PARI/ ISABEL LA CATOLICA,NA,-17.7885672814,-63.1877550231,gamsc
7243,Santa Cruz,MercadoMovil,Distrito Urbano 1,Mercado movilES,NA,-17.7623000215,-63.1913452172,gamsc
7244,Santa Cruz,MercadoMovil,Distrito Urbano 1,Mercado movilES,NA,-17.7609001551,-63.1873372611,gamsc
7245,Santa Cruz,MercadoMovil,Distrito Urbano 1,Mercado movilES,NA,-17.7598921851,-63.1827565687,gamsc
7246,Santa Cruz,MercadoMovil,Distrito Urbano 2,Mercado movilES,NA,-17.759533501,-63.1747732301,gamsc
7247,Santa Cruz,MercadoMovil,Distrito Urbano 2,Mercado movilES,NA,-17.7765014267,-63.1549947795,gamsc
7248,Santa Cruz,MercadoMovil,Distrito Urbano 2,Mercado movilES,NA,-17.779758392,-63.1473975221,gamsc
7249,Santa Cruz,MercadoMovil,Distrito Urbano 6,Mercado movilES,NA,-17.7857499604,-63.1479861135,gamsc
7250,Santa Cruz,MercadoMovil,Distrito Urbano 3,Mercado movilES,NA,-17.7891257854,-63.148212504,gamsc
7251,Santa Cruz,MercadoMovil,Distrito Urbano 3,Mercado movilES,NA,-17.8023884775,-63.1516092708,gamsc
7252,Santa Cruz,MercadoMovil,Distrito Urbano 3,Mercado movilES,NA,-17.808938458,-63.1576226248,gamsc
7253,Santa Cruz,MercadoMovil,Distrito Urbano 3,Mercado movilES,NA,-17.8104799536,-63.1598907771,gamsc
7254,Santa Cruz,MercadoMovil,Distrito Urbano 3,Mercado movilES,NA,-17.8059115369,-63.1541087802,gamsc
7255,Santa Cruz,MercadoMovil,Distrito Urbano 9,Mercado movilES,NA,-17.8198063619,-63.1716641294,gamsc
7256,Santa Cruz,MercadoMovil,Distrito Urbano 9,Mercado movilES,NA,-17.8220866523,-63.1769568192,gamsc
7257,Santa Cruz,MercadoMovil,Distrito Urbano 9,Mercado movilES,NA,-17.8227325626,-63.184292092,gamsc
7258,Santa Cruz,MercadoMovil,Distrito Urbano 10,Mercado movilES,NA,-17.8192063941,-63.1982680527,gamsc
7259,Santa Cruz,MercadoMovil,Distrito Urbano 10,Mercado movilES,NA,-17.8154922279,-63.204189086,gamsc
7260,Santa Cruz,MercadoMovil,Distrito Urbano 10,Mercado movilES,NA,-17.805712951,-63.2127280959,gamsc
7261,Santa Cruz,MercadoMovil,Distrito Urbano 10,Mercado movilES,NA,-17.8013293968,-63.2148240298,gamsc
7262,Santa Cruz,MercadoMovil,Distrito Urbano 1,Mercado movilES,NA,-17.7917949881,-63.2166610061,gamsc
7263,Santa Cruz,MercadoMovil,Distrito Urbano 1,Mercado movilES,NA,-17.7778198878,-63.2162992268,gamsc
7264,Santa Cruz,MercadoMovil,Distrito Urbano 1,Mercado movilES,NA,-17.752035615,-63.1921403715,gamsc
7265,Santa Cruz,MercadoMovil,Distrito Urbano 1,Mercado movilES,NA,-17.750522497,-63.1867693593,gamsc
7266,Santa Cruz,MercadoMovil,Distrito Urbano 1,Mercado movilES,NA,-17.7496967609,-63.1807227107,gamsc
7267,Santa Cruz,MercadoMovil,Distrito Urbano 1,Mercado movilES,NA,-17.7499672909,-63.1752672678,gamsc
7268,Santa Cruz,MercadoMovil,Distrito Urbano 2,Mercado movilES,NA,-17.7517706735,-63.1639382568,gamsc
7269,Santa Cruz,MercadoMovil,Distrito Urbano 2,Mercado movilES,NA,-17.7548047176,-63.1574023147,gamsc
7270,Santa Cruz,MercadoMovil,Distrito Urbano 2,Mercado movilES,NA,-17.7652026125,-63.1487104435,gamsc
7271,Santa Cruz,MercadoMovil,Distrito Urbano 2,Mercado movilES,NA,-17.775618115,-63.1470966165,gamsc
7272,Santa Cruz,MercadoMovil,Distrito Urbano 7,Mercado movilES,NA,-17.7912988915,-63.1392575904,gamsc
7273,Santa Cruz,MercadoMovil,Distrito Urbano 7,Mercado movilES,NA,-17.8005396938,-63.142278402,gamsc
7274,Santa Cruz,MercadoMovil,Distrito Urbano 3,Mercado movilES,NA,-17.8076751844,-63.1412045884,gamsc
7275,Santa Cruz,MercadoMovil,Distrito Urbano 3,Mercado movilES,NA,-17.8116844191,-63.143309349,gamsc
7276,Santa Cruz,MercadoMovil,Distrito Urbano 9,Mercado movilES,NA,-17.8310568575,-63.1756560994,gamsc
