Departamento,Alcance,Descripcion del alcance,Latitud,Longitud,Dirección,Tipo de proveedor,Nombre ,Tipo de servicios o productos,Servicios o productos,Dias y horarios de atención,Telefonos,A domicilio,Verificado
Tarija,Zonal,Bermejo,NA,NA,Av. Petrolera s/n Carretera a Tarija,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106023 - 72072300,No,Si
Tarija,Zonal,Caraparí,NA,NA,Carretera Tarija -Yacuiba Zona El Común,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106024 - 72072300,No,Si
Tarija,Zonal,Padcaya,NA,NA,Carretera a Bermejo Localidad el Padcaya,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106025 - 72072300,No,Si
Chuquisaca,Zonal,Ostria Gutierrez,-19.039644,-65.249234,"Av. Ostria Gutierrez, esq. Nataniel Aguirre",Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106026 - 72072300,No,Si
Chuquisaca,Zonal,El Tejar,NA,NA,Av. Héroes de la Calancha s/n Salida a Potosí,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106027 - 72072300,No,Si
Chuquisaca,Zonal,Los Sauces,NA,NA,Av. Piraimiri. s/n Final,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106028 - 72072300,No,Si
Chuquisaca,Zonal,Monteagudo,NA,NA,"Monteagudo, Zona Zapallar, Salida a Camiri",Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106029 - 72072300,No,Si
Potosí,Zonal,Villa Imperial,-19.583858,-65.755807,Av. Cívica esq. Calle Serrudo s/n,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106030 - 72072300,No,Si
Potosí,Zonal,Antofagasta,NA,NA,Av. Antofagasta s/n,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106031 - 72072300,No,Si
Potosí,Zonal,Betanzos,NA,NA,Av. Chorrillos s/n Carretera Sucre-Potosí,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106032 - 72072300,No,Si
Pando,Zonal,Progreso,NA,NA,Av. Internacional No. 55-2 Zona Central,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106033 - 72072300,No,Si
Pando,Zonal,Puerto Rico,NA,NA,Av. Alberto Saens No. S/n Barrio San Juan,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106034 - 72072300,No,Si
Beni,Zonal,Pompeya,NA,NA,"Av. Pedro Ignacio Muiba, Circunvalación Sur s/n Barrio Pompeya",Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106035 - 72072300,No,Si
Beni,Zonal,Santa Ana De Yacuma,NA,NA,"Calle Juan Adad, s/n. Barrio Belén",Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106036 - 72072300,No,Si
Beni,Zonal,Federico Roman,NA,NA,Av. Federico Román s/n Zona Central,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106037 - 72072300,No,Si
Beni,Municipal,Baures,NA,NA,CALLE BALLIVIAN SN,Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,Guayaramerin,NA,NA,CFEDERICO ROMAN FRENTE PLAZA PRINCIPAL GERMAN,Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,Magdalena,NA,NA,Calle Luis Suarez esq. Nataniel Garcia,Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,Reyes,NA,NA,CALLE SUCRE ESQ. 18 DE NOVIEMBRE,Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,Riberalta,NA,NA,INTERSECCION DE LAS C/JUAN DE DIOS MARTINEZ Y MED,Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,Riberalta,NA,NA,AV. NICOLAS SUAREZ N 481 CASI ESQUINA MEDARDO CHA,Empresa,CIDRE IFD,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,Riberalta,NA,NA,Av.Nicolas Suarez esq placido mendez frente a la,Empresa,COOP.LA MERCED,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,Riberalta,NA,NA,AV. MAXIMO HENICKEN S/N. RIBERALTA,Empresa,IDEPRO,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,Riberalta,NA,NA,Av. Placido Mendez y Gabriel Rene Moreno,Empresa,PRO-MUJER,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,Rurrenabaque,NA,NA,AV. COMERCIO ENTRE CALLE VACA DIEZ Y SANTA CRUZ ,Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,Rurrenabaque,NA,NA,Calle Bolivar Nro . 32,Empresa,DIACONIA,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,San Borja,NA,NA,C/LA PAZ MEDIA CUADRA DEL LADO SUR DE LA PLAZA 10,Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,San Borja,NA,NA,PLAZA PRINCIPAL ACERA NORTE,Empresa,CACTRI,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,San Borja,NA,NA,C/ ANTOFAGASTA ENTRE SUCRE Y TARIJA S/N,Empresa,DIACONIA,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,San Ignacio De Moxos,NA,NA,C Santisteban S frente plaza principal 31 de Julio,Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,San Joaquin,NA,NA,Av.Padre Alfonso Elorriaga entre 18deNoviembre y,Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,San Ramon,NA,NA,CALLE 18 DE NOVIEMBRE,Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,Santa Ana Del Yacuma,NA,NA,C/MANUELITA SUAREZ Y PLAZA BALCAZAR ESPINOZA,Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,Santa Rosa,NA,NA,Calle German Busch Esquina Beni,Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,Trinidad,-14.834604,-64.901653,C. Manuel Limpias No. 76,Empresa,BANCO ECOFUTURO,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,Trinidad,-14.834422,-64.904802,Calle Antonio Vaca Diez,Empresa,BANCO PRODEM,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,Trinidad,NA,NA,Av. Cipriano Baracé # 604,Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,Trinidad,-14.830536,-64.895310,Av. Bolivar Esquina Alberto Reyes,Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,Trinidad,NA,NA,C. COCHABAMBA No. 100,Empresa,CACTRI,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,Trinidad,-14.837849,-64.903807,Calle Joaquin de Sierra esq. Mamore,Empresa,CRECER IFD,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Beni,Municipal,Trinidad,NA,NA,"C. Torope SN, entre calle Hernan Velarde Rojas ",Empresa,DIACONIA,Servicios Financieros,Transacciones bancarias,null,null,No,Si
