gid,nombre,distrito,uv,mz,barrio,informacio,comando_epi,flcv,def_ninies,concil_ciu,minst_pub,felcc,mdic_foren,transito,celdas,juzgado_co,bloque_pol,areas_comu,sup_cubie,point_x,point_y,geog
2,Estación Policial Integral DM-7,7,90,EQ,B/ Libertad,"Recepción sala de espera,orientación e información  y registro de denuncias","Ofi Cmando,Sub Cmando,sala reun,dorm, bañ,coci,secrt, mensj, archi,estad","Of Cdante,dorm, bañ, sala reuni,secrt,mensj,archi gral docu,estad,Of psicól, trab soci,a","Ofi /Dirt Defn,dorm, baño priv, sala reuni,secret mensj,Ofi para psicól,trab soci,abg,sala esp,ba","Of contravencional,sala de audiencias,secrt, mensj, archi,estad","Of fiscales,dorm,baños,Salas de declaraciones, reuniones y espera","Ofi Dir,Of div: Pers, Propied, Homici, Econó y Financ,Crimen Orga,Regis,Of planeam,sala operac","Of médico forense,dorm, baño,secrt, mensj, archi,consult méd emergencia curaciones y forenses","Of cmando, dorm,  bañ,Of div: Espec, accid, serv públ, regist educa vial,sala reuni y operaciones","Of. arrestos, dorm, baño priv,Area exclusión,filiación y visitas,Celdas var y muj,Cám Gessel","Of sala daudiencia Juzg Tránsito,contravencional,secrt, mensj, archi,","Comedores para 200 personas,Dormitorios para 200 personas,Gimnasio, baños,duchas,lavanderia","Albergue,guard niños, areas de esparcim,salón multiprop,helipuerto,sala de armas,parq púb",3758.41m2,-63.1125957945,-17.8008099658,0101000020E61000000000C66D344057C00000C0EC9E1051C0
1,Estación Policial Integral DM-8,8,165,EQ,B/ Urb Suárez,"Recepción sala de espera,orientación e información  y registro de denuncias","Ofi Cmando,Sub Cmando,sala reun,dorm, bañ,coci,secrt, mensj, archi,estad","Of Cdante,dorm, bañ, sala reuni,secrt,mensj,archi gral docu,estad,Of psicól, trab soci,a","Ofi /Dirt Defn,dorm, baño priv, sala reuni,secret mensj,Ofi para psicól,trab soci,abg,sala esp,ba","Of contravencional,sala de audiencias,secrt, mensj, archi,estad","Of fiscales,dorm,baños,Salas de declaraciones, reuniones y espera","Ofi Dir,Of div: Pers, Propied, Homici, Econó y Financ,Crimen Orga,Regis,Of planeam,sala operac","Of médico forense,dorm, baño,secrt, mensj, archi,consult méd emergencia curaciones y forenses","Of cmando, dorm,  bañ,Of div: Espec, accid, serv públ, regist educa vial,sala reuni y operaciones","Of. arrestos, dorm, baño priv,Area exclusión,filiación y visitas,Celdas var y muj,Cám Gessel","Of sala daudiencia Juzg Tránsito,contravencional,secrt, mensj, archi,","Comedores para 200 personas,Dormitorios para 200 personas,Gimnasio, baños,duchas,lavanderia","Albergue,guard niños, areas de esparcim,salón multiprop,helipuerto,sala de armas,parq púb",3758.41m2,-63.1174604822,-17.8521427308,0101000020E61000000000F0A7C6BF5C400000E4141D393FC0
