type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/codigoSIE,properties/ue1,properties/ue2,properties/ue3,properties/ue4,properties/ue5,properties/Nombre,properties/Direccion,properties/CodMacro,properties/CodDistrito,properties/Zona,properties/IdTipo,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,educacionpublica.158,Point,-68.1114522,-16.52552012,geom,80730351,CEE Erick Boulter,,,,,CEE ERICK BOULTER,Av. Hector Ormachea,5,21,OBRAJES,,21,,clara.revollo,2016-06-11T20:59:53.790Z,
Feature,educacionpublica.159,Point,-68.13207273,-16.49534106,geom,80730120,Eduviges Vda. de Hertzog,Rafael Pabón,,,,EDUVIJES VDA DE HERTZONG,C. Indaburo,1,1,CENTRO,,1,,clara.revollo,2016-06-11T21:27:52.047Z,
Feature,educacionpublica.160,Point,-68.12783626,-16.49474871,geom,80730077,República de China,,,,,REPUBLICA DE CHINA,C. Mariscal Braun,4,11,VILLA PABÓN,,11,,clara.revollo,2016-06-11T21:29:03.150Z,
Feature,educacionpublica.161,Point,-68.15094128,-16.49249802,geom,80730045,Corina Gallardo,Villa Victoria,,,,CORINA GALLARDO,C. José María Asín,7,8,VILLA VICTORIA,,8,,clara.revollo,2016-06-11T21:32:12.483Z,
Feature,educacionpublica.162,Point,-68.13313187,-16.48712317,geom,80730366,Sergio Suarez Figueroa Turno Mañana,Sergio Suarez Fogueroa Turno Tarde,,,,SERGIO SUAREZ FIGUEROA TURNO MARANA,Av. Periférica Juan José Torrez,4,11,VILLA DE LA CRUZ,,11,,clara.revollo,2016-06-11T21:35:26.393Z,
Feature,educacionpublica.163,Point,-68.13871038,-16.48814767,geom,80730062,Guatemala - CEA,Modesta Sanjinez,República de Guatemala,,,CEA GUATEMALA,C. Calama Esq. Luis Tapia,4,11,NORTE,5,11,,clara.revollo,2016-06-11T21:37:17.337Z,
Feature,educacionpublica.164,Point,-68.15177381,-16.46655313,geom,80730268,Luis Ernest CBN,,,,,LUIS ERNST CBN,C. 9 Esq. Av. Chacaltaya,4,11,ACHACHICALA,,11,,clara.revollo,2016-06-11T21:38:04.080Z,
Feature,educacionpublica.165,Point,-68.15186376,-16.48924757,geom,807300461,Bautista Saavedra,,,,,BAUTISTA SAAVEDRA,Av. Ildefonso Murguía,7,8,VILLA VICTORIA,,8,,clara.revollo,2016-06-11T21:40:09.107Z,
Feature,educacionpublica.166,Point,-68.1409469,-16.49698349,geom,80730029,Mariscal Santa Cruz - CEA,Egipto,Paraguay,,,CEA MSCAL. SANTA CRUZ,C. Santa Cruz,1,1,CENTRAL,5,1,,clara.revollo,2016-06-11T21:41:14.860Z,
Feature,educacionpublica.167,Point,-68.15609882,-16.48808269,geom,80730038,Heriberto Guillén Pinto,Luis Uría de la Oliva,Munaypata,,,HERIBERTO GUILLEN PINTO,Av. 31 de Julio,7,9,MUNAYPATA,,9,,clara.revollo,2016-06-11T21:45:08.840Z,
