type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Direccion,properties/Ruta
Feature,paradaspumakatari.304,Point,-68.11407107,-16.5130779,Shape,Villa Armonia Ida,IRPAVI II - PUC
Feature,paradaspumakatari.305,Point,-68.11403558,-16.51416335,Shape,Villa Armonia Vuelta,PUC - IRPAVI II
Feature,paradaspumakatari.306,Point,-68.12064025,-16.51435446,Shape,c Clavijo Ida,IRPAVI II - PUC
Feature,paradaspumakatari.307,Point,-68.11951715,-16.51558369,Shape,San Jorge Vuelta,PUC - IRPAVI II
Feature,paradaspumakatari.308,Point,-68.1285371,-16.50378934,Shape,UMSA Ida,IRPAVI II - PUC
Feature,paradaspumakatari.309,Point,-68.12721388,-16.50458061,Shape,Zapata Vuelta,PUC - IRPAVI II
Feature,paradaspumakatari.310,Point,-68.12829918,-16.50069853,Shape,Estación transferencia Partida,PUC - IRPAVI II
Feature,paradaspumakatari.311,Point,-68.13009766,-16.50076861,Shape,Av. Simon Bolivar Llegada,PUC - IRPAVI II
Feature,paradaspumakatari.312,Point,-68.08207519,-16.50042539,Shape,Patio Irpavi II,IRPAVI II - PUC
Feature,paradaspumakatari.313,Point,-68.12157173,-16.48702221,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.314,Point,-68.1218135,-16.48681376,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.315,Point,-68.12169482,-16.48887595,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.316,Point,-68.12147288,-16.48927174,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.317,Point,-68.12163719,-16.49086112,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.318,Point,-68.12137583,-16.49080778,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.319,Point,-68.12149696,-16.49337315,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.320,Point,-68.12126687,-16.49397879,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.321,Point,-68.12135467,-16.49685887,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.322,Point,-68.12110317,-16.49672706,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.323,Point,-68.12119484,-16.49967678,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.324,Point,-68.12098453,-16.4992542,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.325,Point,-68.12098757,-16.49959682,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.326,Point,-68.12118881,-16.49933871,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.327,Point,-68.12084961,-16.50204184,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.328,Point,-68.12315568,-16.50155885,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.329,Point,-68.12266084,-16.50281551,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.330,Point,-68.12310679,-16.50288027,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.331,Point,-68.12354574,-16.50159838,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.332,Point,-68.12497688,-16.50227809,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.333,Point,-68.12479601,-16.50242905,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.334,Point,-68.12837222,-16.50066805,Shape, ,RUTA INTEGRADORA
