type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Administracion,properties/IdTipo,properties/Tipo,properties/Macrodistrito,properties/CodDistrito,properties/IdCategoria,properties/Categoria,properties/Zona,properties/Codigo,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,camposdeportivos.259,Point,-68.12493393,-16.51737462,geom,Palacio del Deporte Luis Lastra,C. Presbítero Medina,DIRECCION DE DEPORTES,11,GIMNASIO,COTAHUMA,3,2,B,SOPOCACHI,35,3,,clara.revollo,2016-07-26T13:56:33.783Z,
Feature,camposdeportivos.260,Point,-68.15982311,-16.48787897,geom,Palacio del Deporte Munaypata,Av. Naciones Unidas,DIRECCION DE DEPORTES,8,FUTBOL,MAX PAREDES,9,2,B,MUNAYPATA,171,9,,juan.alba,2016-06-07T02:50:38.467Z,
Feature,camposdeportivos.261,Point,-68.14598493,-16.51031838,geom,San Cristobal,C. Feliciano Kantuta,NADIE,14,POLIFUNCIONAL,COTAHUMA,5,3,C,CENTRAL BAJO TACAGUA,63,5,,gustavo.nao,2018-09-12T20:17:56.280Z,
Feature,camposdeportivos.262,Point,-68.14130907,-16.51707142,geom,Bombonerita,C. Huallpa Rimachi,LIGA DEPORTIVA - RESOLUCION MUNICIPAL,8,FUTBOL,COTAHUMA,4,3,C,OBISPO BOSQUE BAJO,84,4,,gustavo.nao,2018-09-12T20:17:16.353Z,
Feature,camposdeportivos.263,Point,-68.04412157,-16.45097797,geom,Cancha Cumaravi,,LA COMUNIDAD - SIN REGULACION,14,POLIFUNCIONAL,HAMPATURI,22,4,D,CHOQUECHIHUANI,89,22,,nhuanquiri,2016-07-02T21:35:55.610Z,
Feature,camposdeportivos.264,Point,-68.06816286,-16.4820953,geom,Cancha de Chicani,0,LA COMUNIDAD - SIN REGULACION,14,POLIFUNCIONAL,HAMPATURI,22,3,C,CHICANI,90,22,,gustavo.nao,2018-09-12T20:16:25.067Z,
Feature,camposdeportivos.265,Point,-68.05319733,-16.45892821,geom,Multifuncionalhampaturi Chico,0,LA COMUNIDAD - SIN REGULACION,14,POLIFUNCIONAL,HAMPATURI,22,4,D,HAMPATURI CHICO,93,22,,gustavo.nao,2018-09-12T20:15:58.937Z,
Feature,camposdeportivos.266,Point,-68.0499822,-16.50862566,geom,Achumani 2da Sección,0,LA COMUNIDAD - SIN REGULACION,8,FUTBOL,SUR,22,4,D,ACHUMANI 2DA SECCION,97,18,,gustavo.nao,2018-09-12T20:15:54.800Z,
Feature,camposdeportivos.267,Point,-68.08305224,-16.57551537,geom,Polifuncional Parque Valle del Sol,Av. Florida,EMAVERDE,14,POLIFUNCIONAL,MALLASA,20,2,B,MALLASA,112,20,,nhuanquiri,2016-07-02T22:16:12.067Z,
Feature,camposdeportivos.268,Point,-68.07169273,-16.59077952,geom,Cancha de Futbol Jupapina,C. 4,LA COMUNIDAD - SIN REGULACION,8,FUTBOL,MALLASA,20,3,C,JUPAPINA,115,20,,gustavo.nao,2018-09-12T20:15:50.170Z,
