type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/OBJECTID_1,properties/OBJECTID,properties/LAYER,properties/Nombre,properties/Direccion,properties/Zona,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,geometry
Feature,edificios.1316,Point,-68.13636034,-16.49500845,geom,4299,580,EDIFICIOS,Edificio Mcal. De Zepita Bolque B,,,1,,carlos.medrano,2016-07-26T00:26:24.727Z,,
Feature,edificios.1317,Point,-68.13647166,-16.49492349,geom,4300,12022,EDIFICIOS,Edificio Mcal. de Zepita Bloque A,,,1,,carlos.medrano,2016-07-26T00:26:17.740Z,,
Feature,edificios.1318,Point,-68.12182859,-16.48924572,geom,4301,12023,EDIFICIOS,Edificio Marsella,,,2,,,,,
Feature,edificios.1319,Point,-68.11635092,-16.50284834,geom,4302,12024,EDIFICIOS,Edificio Maya,,,2,,,,,
Feature,edificios.1320,Point,-68.13645825,-16.5155736,geom,4303,12025,EDIFICIOS,Edificio Mendez Pelayo,,,4,,,,,
Feature,edificios.1321,Point,-68.13287129,-16.49837616,geom,4304,12026,EDIFICIOS,Edificio Mercado,,,1,,,,,
Feature,edificios.1322,Point,-68.12430815,-16.48832801,geom,4305,12027,EDIFICIOS,Edificio Merida,,,2,,,,,
Feature,edificios.1323,Point,-68.07323243,-16.54017035,geom,4306,12029,EDIFICIOS,Edificio Michelle,,,18,,,,,
Feature,edificios.1324,Point,-68.11768849,-16.51269161,geom,4307,12030,EDIFICIOS,Edificio Mirador,,,2,,,,,
Feature,edificios.1325,Point,-68.12546999,-16.52640214,geom,4308,12031,EDIFICIOS,Edificio Mirador Jardín,,,4,,carlos.medrano,2016-07-26T00:25:45.947Z,,
Feature,edificios.1326,Point,-68.12850317,-16.50598933,geom,4309,733,EDIFICIOS,Edificio Montevideo,,,1,,,,,
Feature,edificios.1327,Point,-68.12271686,-16.50575729,geom,4310,12032,EDIFICIOS,Edificio Movima,,,2,,,,,
Feature,edificios.1328,Point,-68.12642983,-16.50729452,geom,4311,12033,EDIFICIOS,Edificio Multicentro Bloque A,,,1,,,,,
Feature,edificios.1329,Point,-68.12617153,-16.50725782,geom,4312,12034,EDIFICIOS,Edificio Multicentro Bloque B,,,1,,,,,
Feature,edificios.1330,Point,-68.1259809,-16.50695067,geom,4313,12035,EDIFICIOS,Edificio Multicentro Bloque C,,,1,,,,,
Feature,edificios.1331,Point,-68.12134043,-16.48875507,geom,4314,12036,EDIFICIOS,Edificio Murano,,,2,,,,,
Feature,edificios.1332,Point,-68.13376703,-16.49200044,geom,4315,12038,EDIFICIOS,Edificio Mutun,,,11,,,,,
Feature,edificios.1333,Point,-68.08808048,-16.52233456,geom,4316,12039,EDIFICIOS,Edificio Natura,,,18,,,,,
Feature,edificios.1334,Point,-68.08733611,-16.52911218,geom,4317,12040,EDIFICIOS,Edificio Nazareth,,,18,,,,,
Feature,edificios.1335,Point,-68.1234512,-16.48528791,geom,4318,12041,EDIFICIOS,Edificio Nuestra Señora de Fátima,,,2,,carlos.medrano,2016-07-26T00:25:30.413Z,,
Feature,edificios.1336,Point,-68.10473154,-16.52783578,geom,4319,12042,EDIFICIOS,Edificio Nuevo,,,21,,,,,
Feature,edificios.1337,Point,-68.08713179,-16.52835176,geom,4320,12043,EDIFICIOS,Edificio Oasis,,,18,,,,,
Feature,edificios.1338,Point,-68.08409433,-16.53897225,geom,4321,12044,EDIFICIOS,Edificio del Sur,,,18,,,,,
Feature,edificios.1339,Point,-68.10743143,-16.52565761,geom,4322,12045,EDIFICIOS,Edificio Obrajes,,,21,,,,,
Feature,edificios.1340,Point,-68.12320853,-16.49620939,geom,4323,12046,EDIFICIOS,Edificio Oceano,,,2,,,,,
Feature,edificios.1341,Point,-68.11291707,-16.52547271,geom,4324,12047,EDIFICIOS,Edificio Omega,,,21,,,,,
Feature,edificios.1342,Point,-68.07440053,-16.53364373,geom,4325,12048,EDIFICIOS,Edificio P&M II,,,18,,,,,
Feature,edificios.1343,Point,-68.12231227,-16.49540705,geom,4326,12049,EDIFICIOS,Edificio Pacifico,,,2,,carlos.medrano,2016-07-26T00:24:27.827Z,,
Feature,edificios.1344,Point,-68.12145302,-16.49620782,geom,4327,12050,EDIFICIOS,Edificio Panamá,,,2,,carlos.medrano,2016-07-26T00:24:35.800Z,,
Feature,edificios.1345,Point,-68.07997873,-16.54137684,geom,4328,12051,EDIFICIOS,Edificio Paulina,,,18,,,,,
Feature,edificios.1346,Point,-68.13512898,-16.49534671,geom,4329,588,EDIFICIOS,Edificio Camiri,,,1,,,,,
Feature,edificios.1347,Point,-68.13456511,-16.49931024,geom,4330,12052,EDIFICIOS,Edificio Perrin,,,1,,,,,
Feature,edificios.1348,Point,-68.0908658,-16.54014773,geom,4331,12053,EDIFICIOS,Edificio Pierrot,,,18,,,,,
Feature,edificios.1349,Point,-68.1225867,-16.50522113,geom,4332,12054,EDIFICIOS,Edificio Pino Azul,,,2,,,,,
Feature,edificios.1350,Point,-68.0872166,-16.53021208,geom,4333,12055,EDIFICIOS,Edificio Providencia,,,18,,,,,
Feature,edificios.1351,Point,-68.12302335,-16.49503895,geom,4334,12056,EDIFICIOS,Edificio Prucela,,,2,,,,,
Feature,edificios.1352,Point,-68.12089332,-16.49914549,geom,4335,12057,EDIFICIOS,Edificio Quisbert,,,2,,,,,
Feature,edificios.1353,Point,-68.13060767,-16.51225286,geom,4336,12058,EDIFICIOS,Edificio Recoleta,,,3,,,,,
Feature,edificios.1354,Point,-68.08594024,-16.52383482,geom,4337,12059,EDIFICIOS,Edificio Reyna Veronica,,,18,,,,,
