type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/CodMacro,properties/CodDistrito,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,properties/IdTipo,properties/Nombreback
Feature,educacionprivada.123,Point,-68.12208781,-16.49203675,geom,Virgen de Copacabana,Av. Estados Unidos,MIRAFLORES,7,,2,,clara.revollo,2016-06-13T15:59:53.150Z,,8,Guardería Virgen de Copacabana
Feature,educacionprivada.125,Point,-68.12265971,-16.49568878,geom,Andina Simón Bolivar,Av. Heroes del Pacífico,MIRAFLORES,1,,2,,clara.revollo,2016-07-01T20:40:11.783Z,,13,Universidad Andina Simon Bolivar
Feature,educacionprivada.126,Point,-68.1298955,-16.51472478,geom,Coordillera,C. Mendez Arcos,SOPOCACHI,1,,3,,clara.revollo,2016-06-08T15:43:17.180Z,,13,Universidad Coordillera
Feature,educacionprivada.127,Point,-68.12451301,-16.51648563,geom,Nazario Pardo Valle,Av. Francisco Bedregal,KANTUTANI,1,,3,,clara.revollo,2016-07-01T19:50:29.150Z,,11,Kinder N Parde Valle
Feature,educacionprivada.130,Point,-68.11049109,-16.52461644,geom,Universidad Privada Boliviana,Av. Hernando Siles,OBRAJES,,,21,clara.revollo,clara.revollo,2016-07-01T20:46:26Z,,13,Universidad Privada Boliviana
Feature,educacionprivada.132,Point,-68.11229704,-16.52334347,geom,UCB - Laboratorio de Química,Av. 14 de Septiembre Esq. Luis Espinoza Saravia,OBRAJES,,,21,clara.revollo,clara.revollo,2016-06-08T15:58:13.200Z,,13,Laboratorio de Química - UCB
Feature,educacionprivada.133,Point,-68.11195919,-16.52349643,geom,UCB,Av. 14 de Septiembre,OBRAJES,,,21,clara.revollo,clara.revollo,2016-06-08T15:57:34.747Z,,13,UCB
Feature,educacionprivada.134,Point,-68.11129287,-16.52344576,geom,UMSA - CIDES,Av. 14 de Septiembre,OBRAJES,,,21,clara.revollo,clara.revollo,2016-06-08T15:55:01.120Z,,13,CIDES - UMSA
Feature,educacionprivada.137,Point,-68.11278864,-16.5231562,geom,Católica Boliviana,Av. 14 de Septiembre,OBRAJES,,,21,clara.revollo,clara.revollo,2016-06-08T16:00:47.597Z,,13,Universidad Católica Boliviana
Feature,educacionprivada.138,Point,-68.10509734,-16.52684384,geom,Americano Obrajes,Av. 14 de Septiembre,OBRAJES,,,21,clara.revollo,clara.revollo,2016-06-08T16:01:53.820Z,,9,Instituto Americano Obrajes
Feature,educacionprivada.139,Point,-68.09035165,-16.549727,geom,La Salle,C. Arequipa,CALACOTO,,,18,clara.revollo,clara.revollo,2016-06-22T13:18:46.850Z,,4,Colegio La Salle
Feature,educacionprivada.140,Point,-68.07045852,-16.53836115,geom,San Andres,C. Jose Gabino Villanueva,CALACOTO,,,18,clara.revollo,clara.revollo,2016-06-08T16:07:50.573Z,,4,Colegio San Andres
Feature,educacionprivada.141,Point,-68.11699238,-16.49008718,geom,Cristo Rey,C. Vicente Burgaleta,Villa Copacabana,,,14,clara.revollo,clara.revollo,2016-06-08T16:09:10.670Z,,4,Colegio Cristo Rey
Feature,educacionprivada.143,Point,-68.13160723,-16.50642333,geom,Instituto Americano,C. Landaeta,SAN PEDRO,,,3,clara.revollo,clara.revollo,2016-06-08T16:24:04.753Z,,4,Colegio Instituto Americano
Feature,educacionprivada.144,Point,-68.08454659,-16.53974608,geom,Domingo Savio,,,,,18,clara.revollo,clara.revollo,2016-07-01T19:27:46.360Z,,,
Feature,educacionprivada.145,Point,-68.12859332,-16.51020842,geom,Acuarela - Sopocachi,C. Rosendo Gutiérrez Nº 551,Sopocachi,,,3,clara.revollo,clara.revollo,2016-08-04T14:36:23.047Z,,,
Feature,educacionprivada.146,Point,-68.09004637,-16.54199993,geom,Acuarela - Calacoto,Av. Sanchez Bustamante Nº 324,Calacoto,,,18,clara.revollo,clara.revollo,2016-08-04T14:36:45.900Z,,,
Feature,educacionprivada.147,Point,-68.12204166,-16.5119918,geom,Acuarela - San Jorge,Av. Arce esq. Campos Nº 2698,San Jorge,,,1,clara.revollo,clara.revollo,2016-08-04T14:36:59.733Z,,,
Feature,educacionprivada.148,Point,-68.0760094,-16.53453357,geom,Acuarela - Achumani,Calle 10 Nº 266,Achumani,,,18,clara.revollo,clara.revollo,2016-08-04T14:36:02.667Z,,,
Feature,educacionprivada.149,Point,-68.12178491,-16.49798276,geom,Centro Educativo Nicole,C. Estados Unidos Nº 1469 esq. Pasoskanqui,Miraflores,,,2,clara.revollo,clara.revollo,2016-08-04T15:16:38.883Z,,,
Feature,educacionprivada.150,Point,-68.13276773,-16.50767377,geom,El Jardín Infantil de Luly,"Av. Abdón Saavedra esq, Mártires de la Democracia",Sopocachi,,,3,clara.revollo,clara.revollo,2016-08-04T15:30:46.510Z,,,
Feature,educacionprivada.151,Point,-68.07537701,-16.5452206,geom,Pasito a Paso,José María Aguirre Achá,Los Pinos,,,18,clara.revollo,clara.revollo,2016-08-04T15:35:44.280Z,,,
Feature,educacionprivada.152,Point,-68.08817799,-16.54451512,geom,Ceami,Av. Los Sauces Nº 1022,Calacoto,,,18,clara.revollo,clara.revollo,2016-08-04T15:42:29.777Z,,,
Feature,educacionprivada.153,Point,-68.12362934,-16.51107654,geom,Ceami,C. Pinilla entre Av. Arce y 6 de Agosto,Sopocachi,,,1,clara.revollo,clara.revollo,2016-08-04T15:43:52.683Z,,,
Feature,educacionprivada.154,Point,-68.12060313,-16.50381505,geom,Crecer,Av. Busch,Miraflores,,,2,clara.revollo,clara.revollo,2016-08-04T15:47:16.720Z,,,
Feature,educacionprivada.155,Point,-68.1207058,-16.50330106,geom,Crecer - Miraflores,Av. Busch # 2047,Miraflores,,,2,clara.revollo,clara.revollo,2017-04-17T14:56:01.100Z,,,
Feature,educacionprivada.156,Point,-68.13014944,-16.51037911,geom,Jardín Infantil Angelitos,C. Jacinto Benavente # 2255,Sopocachi,,,3,clara.revollo,clara.revollo,2017-04-17T14:56:11.233Z,,,
