type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/tipo_ofi,properties/Direccion
Feature,entidadesfinancieras.270,Point,-68.14094233,-16.51113069,geom,IMPRO,Oficina Central,CALLE MANUEL ERGUETA No 1741 ZONA TEMBLADERANI
Feature,entidadesfinancieras.271,Point,-68.11824725,-16.47672399,geom,EMPRENDER,Agencia Fija,AV. 15 DE ABRIL #490 VILLA FATIMA
Feature,entidadesfinancieras.272,Point,-68.14370268,-16.5097464,geom,EMPRENDER,Agencia Fija,AV. BUENOS AIRES Y JAIMES FREYRE No. 1578 ZONA TEMBLADERANI
Feature,entidadesfinancieras.273,Point,-68.1343482,-16.49868004,geom,Cooperativa de Ahorro y Crédito La Sagrada Familia Ltda.,Oficina Central,"Av. Camacho NÂº 1277, Edif. Krsul, Piso 3, Of. 301 - Zona Central"
Feature,entidadesfinancieras.274,Point,-68.10525833,-16.49925278,geom,Cooperativa de Ahorro y Crédito La Sagrada Familia Ltda.,Agencia Fija,Av. Ciudad del Niño esq. Av. 23 de Marzo NÂº 500 -  Zona Pampahasi
Feature,entidadesfinancieras.275,Point,-68.1140126,-16.46790043,geom,Cooperativa de Ahorro y Crédito La Sagrada Familia Ltda.,Agencia Fija,Av. Ramiro Castillo esq. Calle 3 NÂº 35 - Villa El Carmen
Feature,entidadesfinancieras.276,Point,-68.15550549,-16.49625622,geom,Cooperativa de Ahorro y Crédito La Sagrada Familia Ltda.,Agencia Fija,"Av. Heroes del Pacífico,"
Feature,entidadesfinancieras.277,Point,-68.14058727,-16.49943777,geom,Cooperativa de Ahorro y Crédito La Sagrada Familia Ltda.,Agencia Fija,"Calle Sagárnaga NÂº 547, Edif. María PB, Entre Plaza Gran Poder y calle  Max Paredes"
Feature,entidadesfinancieras.278,Point,-68.13433709,-16.49867727,geom,Cooperativa de Ahorro y Crédito La Sagrada Familia Ltda.,Agencia Fija,"Av. Camacho NÂº 1277, Edif. Krsul, Piso 3, Of. 301 - Zona Central"
Feature,entidadesfinancieras.279,Point,-68.13600397,-16.49694986,geom,Cooperativa de Ahorro y Crédito La Sagrada Familia Ltda.,Agencia Fija,En Tramite
Feature,entidadesfinancieras.280,Point,-68.12622153,-16.51025309,geom,Cooperativa de Ahorro y Crédito El Buen Samaritano Ltda.,Agencia Fija,AV.20 DE OCTUBRE No.2463-A ENTRE CALLE BELISARIO SALINAS Y PEDRO SALAZAR
