type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/Macrodistrito,properties/CodMacro,properties/CodDistrito,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,mercados.27,Point,-68.13347677,-16.53474837,geom,El Rosal,Av. Mario Mercado,,COTAHUMA,1,4,4,,gustavo.nao,2017-10-03T22:22:24.257Z,
Feature,mercados.28,Point,-68.15214169,-16.49534207,geom,El Tejar,C. José María Asín Esq. Av. Kollasuyo,,MAX PAREDES,2,8,8,,gustavo.nao,2017-10-03T22:23:33.957Z,
Feature,mercados.29,Point,-68.14454232,-16.50335148,geom,Félix Hinojosa,Av. Buenos Aires Esq. C. Alcoreza,,COTAHUMA,1,5,5,,gustavo.nao,2016-07-13T14:12:27.800Z,
Feature,mercados.30,Point,-68.07696623,-16.54652932,geom,Feria Itinerante - Zona Franca,Av. Costanera,,SUR,5,19,18,,gustavo.nao,2018-09-12T14:32:08.950Z,
Feature,mercados.31,Point,-68.12544057,-16.48373902,geom,Francisco Cernadas,C. Benigno Loza Esq. C. Juan de la Cruz Monje,,PERIFERICA,3,12,12,,gustavo.nao,2016-06-07T13:58:36.317Z,
Feature,mercados.32,Point,-68.13983812,-16.48213151,geom,German Busch,C. Maximiliano Ortiz,,PERIFERICA,3,11,11,,gustavo.nao,2016-06-07T13:59:47.267Z,
Feature,mercados.33,Point,-68.11294265,-16.51001991,geom,German Jordán,C. Héroes del Chaco Esq. Av. Costanera,,SAN ANTONIO,4,17,17,,gustavo.nao,2016-07-13T14:14:26.433Z,
Feature,mercados.34,Point,-68.12260576,-16.49087575,geom,Haití,C. Haití Esq. C. Trinidad Tobago,,CENTRO,7,2,2,,gustavo.nao,2016-07-13T14:15:33.587Z,
Feature,mercados.35,Point,-68.08726257,-16.52473412,geom,Modelo Irpavi,Av. Segundo Altamirano Esq. C. 6-Julio de la Vega Iturri,,SUR,5,18,18,,gustavo.nao,2016-07-13T14:59:59.680Z,
Feature,mercados.36,Point,-68.12740398,-16.49450706,geom,Killi Killi,C. Heroínas 16 de Julio Esq. C. Víctor Ustariz,,PERIFERICA,3,11,11,,carlos.medrano,2016-07-07T19:57:19.797Z,
Feature,mercados.37,Point,-68.14329644,-16.52297656,geom,Kilómetro 7,Av. Quiroga Santa Cruz Esq. C. 6 de Agosto,,COTAHUMA,1,4,4,,gustavo.nao,2016-06-07T14:06:32.800Z,
Feature,mercados.38,Point,-68.11665722,-16.49517601,geom,Kollasuyo,Av. Tito Yupanqui,,SAN ANTONIO,4,14,14,,gustavo.nao,2016-06-07T14:07:17.503Z,
Feature,mercados.39,Point,-68.12801858,-16.50422235,geom,La Bolita,C. Federico Zuazo Esq. Av. Del Ejército,,CENTRO,7,1,1,,gustavo.nao,2016-07-13T14:17:02.360Z,
Feature,mercados.40,Point,-68.05804477,-16.54205694,geom,La Merced,C. 34 de Cota Cota,,SUR,5,19,18,,gustavo.nao,2016-06-07T14:41:15.747Z,
Feature,mercados.41,Point,-68.1669592,-16.48930369,geom,Central Portada,C. Justo Germán Esq. C. Yapacani,,MAX PAREDES,2,9,9,,nhuanquiri,2020-03-23T23:45:47.987Z,
Feature,mercados.42,Point,-68.13746813,-16.49475187,geom,Lanza,"Pza. Pérez Velasco, entre C. Evaristo Valle y C. Figueroa",,CENTRO,7,1,1,,gustavo.nao,2016-07-13T14:21:39.047Z,
Feature,mercados.43,Point,-68.0924012,-16.5446891,geom,Las Cholas,Av. Costanera,,SUR,5,19,18,,gustavo.nao,2016-06-07T14:47:33.830Z,
Feature,mercados.44,Point,-68.12354858,-16.47696941,geom,Las Delicias,Av. Las Delicias Esq. C. San Buenaventura,,PERIFERICA,3,12,12,,gustavo.nao,2016-07-13T14:40:22.437Z,
Feature,mercados.45,Point,-68.13890725,-16.52261103,geom,Las Lomas,Av. Buenos Aires,,COTAHUMA,1,4,4,,,,
Feature,mercados.46,Point,-68.15740277,-16.49714811,geom,Las Nieves,Av. Utapulpera Esq. C. Echazu,,MAX PAREDES,2,8,8,,gustavo.nao,2016-06-07T14:52:03.220Z,
Feature,mercados.48,Point,-68.14830207,-16.49875052,geom,Los Andes,C. Manuel Cosio Esq. Av. Los Andes,,MAX PAREDES,2,7,7,,gustavo.nao,2016-07-13T14:49:55.007Z,
