type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/objectid,properties/featureid,properties/TextString,properties/nombalfa,properties/alias,properties/zona,properties/tipovia,properties/om,properties/descripcion
Feature,ubicacionvias2.1122,Point,-68.08813813,-16.51626499,geom,3045,5024,C. 14-A,14-A,14-A,Irpavi,c., ,c. 14-A (Irpavi)
Feature,ubicacionvias2.1123,Point,-68.08816368,-16.51670653,geom,823,5025,C. 13-B,13-B,13-B,Irpavi,c., ,c. 13-B (Irpavi)
Feature,ubicacionvias2.1124,Point,-68.08818379,-16.51714372,geom,2310,5026,C. 13-B,13-B,13-B,Irpavi,c., ,c. 13-B (Irpavi)
Feature,ubicacionvias2.1125,Point,-68.08820052,-16.51757559,geom,834,5027,C. 13-A,13-A,13-A,Irpavi,c., ,c. 13-A (Irpavi)
Feature,ubicacionvias2.1126,Point,-68.12669256,-16.49772594,geom,593,5028,"Corrales, Casimiro","Corrales, Casimiro",Casimiro Corrales,Miraflores,c., ,c. Casimiro Corrales (Miraflores)
Feature,ubicacionvias2.1127,Point,-68.10247422,-16.50680226,geom,2742,5032,C. 9,9,9,Pampahasi,c., ,c. 9 (Pampahasi)
Feature,ubicacionvias2.1128,Point,-68.11877938,-16.48898988,geom,2628,5037,Costanera,Costanera,Costanera,Villa Copacabana,av., ,av. Costanera (Villa Copacabana)
Feature,ubicacionvias2.1129,Point,-68.11884774,-16.49355114,geom,11612,5037,Costanera,Costanera,Costanera,Villa Copacabana,av., ,av. Costanera (Villa Copacabana)
Feature,ubicacionvias2.1130,Point,-68.1220746,-16.50591477,geom,576,5039,Chichas,Chichas,Chichas,Miraflores Sur,c., ,c. Chichas (Miraflores Sur)
Feature,ubicacionvias2.1131,Point,-68.1112842,-16.51473806,geom,2823,5043,C. 4,4,4,Cuarto Centenario,c., ,c. 4 (Cuarto Centenario)
Feature,ubicacionvias2.1132,Point,-68.11326931,-16.50597004,geom,921,5047,Héroes del Chaco,Héroes del Chaco,Héroes del Chaco,Villa Armonía,c., ,c. Héroes del Chaco (Villa Armonía)
Feature,ubicacionvias2.1133,Point,-68.11315295,-16.50791515,geom,316,5048,Armonía,Armonía,Armonía,Villa Armonía,c., ,c. Armonía (Villa Armonía)
Feature,ubicacionvias2.1134,Point,-68.11959273,-16.45645133,geom,3217,5055,Rosal,Rosal,El Rosal,Urkupiña,c., ,c. El Rosal (Urkupiña)
Feature,ubicacionvias2.1135,Point,-68.12120397,-16.45759359,geom,3422,5059,Olivos,Olivos,Los Olivos,Urkupiña,pje., ,pje. Los Olivos (Urkupiña)
Feature,ubicacionvias2.1136,Point,-68.11985801,-16.45900821,geom,8332,5061,Apóstol S.,Apóstol Santiago,Apóstol Santiago,Urkupiña,c.,249/2004,c. Apóstol Santiago (Urkupiña)
Feature,ubicacionvias2.1137,Point,-68.12013652,-16.46016148,geom,8490,5064,San Roque,San Roque,San Roque,Urkupiña,c., ,c. San Roque (Urkupiña)
Feature,ubicacionvias2.1138,Point,-68.1077937,-16.46037685,geom,2837,5065,C. 1,1,1,Chuquiaguillo,c., ,c. 1 (Chuquiaguillo)
Feature,ubicacionvias2.1139,Point,-68.11047704,-16.47689638,geom,501,5066,"Siles, Hernando","Siles, Hernando",Hernando Siles,24 de Junio,c., ,c. Hernando Siles (24 de Junio)
Feature,ubicacionvias2.1140,Point,-68.08792759,-16.50768657,geom,2002,5069,Río Chulluncani,Río Chulluncani,Río Chulluncani,Callapa,av., ,av. Río Chulluncani (Callapa)
Feature,ubicacionvias2.1141,Point,-68.1191036,-16.45865693,geom,7982,5072,Virgen de la Candelaria,Virgen de la Candelaria,Virgen de la Candelaria,Urkupiña,c.,249/2004,c. Virgen de la Candelaria (Urkupiña)
Feature,ubicacionvias2.1142,Point,-68.15198383,-16.46089924,geom,2720,5081,C. C,C,C,Ciudadela Ferroviaria,c., ,c. C (Ciudadela Ferroviaria)
Feature,ubicacionvias2.1143,Point,-68.12463186,-16.50167478,geom,8086,5084,"Loza, Juan M.","Loza, Juan Manuel",Juan Manuel Loza,Santa Barbara,pje., ,pje. Juan Manuel Loza (Santa Barbara)
Feature,ubicacionvias2.1144,Point,-68.05482164,-16.52363265,geom,41,5087,Av. B,B,B,Huantaqui,av., ,av. B (Huantaqui)
Feature,ubicacionvias2.1145,Point,-68.14291323,-16.44930493,geom,204,5098,Olivos,Olivos,Los Olivos,Las Nieves,c., ,c. Los Olivos (Las Nieves)
Feature,ubicacionvias2.1146,Point,-68.14664292,-16.44808658,geom,299,5100,Río Choqueyapu,Río Choqueyapu,Río Choqueyapu,Las Nieves,c., ,c. Río Choqueyapu (Las Nieves)
Feature,ubicacionvias2.1147,Point,-68.1192658,-16.45577951,geom,8724,5103,Los Sauces,Los Sauces,Los Sauces,Urkupiña,c., ,c. Los Sauces (Urkupiña)
Feature,ubicacionvias2.1148,Point,-68.071092,-16.59612385,geom,12,5164,C. 7,7,7,Jupapina,c., ,c. 7 (Jupapina)
Feature,ubicacionvias2.1149,Point,-68.09112671,-16.56846422,geom,190,5166,Tunas,Tunas,Las Tunas,Mallasa,c., ,c. Las Tunas (Mallasa)
Feature,ubicacionvias2.1150,Point,-68.0714054,-16.60033639,geom,2140,5168,C. 11,11,11,Jupapina,c., ,c. 11 (Jupapina)
Feature,ubicacionvias2.1288,Point,-68.12296321,-16.46810913,geom,2514,5909,C. 5,5,5,Rosasani,c., ,c. 5 (Rosasani)
Feature,ubicacionvias2.1151,Point,-68.06943923,-16.60458552,geom,46,5241,Jupapina,Jupapina,Jupapina,Jupapina,av., ,av. Jupapina (Jupapina)
Feature,ubicacionvias2.1152,Point,-68.08689952,-16.56820092,geom,2202,5243,C. 4,4,4,Mallasa,c., ,c. 4 (Mallasa)
Feature,ubicacionvias2.1153,Point,-68.09748312,-16.56771521,geom,2492,5273,Av. 1,1,1,Mallasilla,av., ,av. 1 (Mallasilla)
Feature,ubicacionvias2.1154,Point,-68.10635386,-16.55878635,geom,13,5293,Coyote,Coyote,Coyote,Aranjuez,c., ,c. Coyote (Aranjuez)
Feature,ubicacionvias2.1155,Point,-68.09774159,-16.5655747,geom,653,5311,Av. D,D,D,Mallasilla,av., ,av. D (Mallasilla)
Feature,ubicacionvias2.1156,Point,-68.09719181,-16.56282264,geom,3207,5319,C. 5,5,5,Mallasilla,c., ,c. 5 (Mallasilla)
Feature,ubicacionvias2.1157,Point,-68.0831941,-16.55259639,geom,3228,5320,Flores,Flores,Flores,La Florida,av., ,av. Flores (La Florida)
Feature,ubicacionvias2.1158,Point,-68.09239909,-16.55352613,geom,126,5321,"Siles Zuazo, Hernán","Siles Zuazo, Hernán",Dr. Hernán Siles Zuazo,Aranjuez,av.,126/2000,av. Dr. Hernán Siles Zuazo (Aranjuez)
Feature,ubicacionvias2.1159,Point,-68.07777711,-16.54729498,geom,2718,5323,C. 5,5,5,Auquisamaña,c., ,c. 5 (Auquisamaña)
Feature,ubicacionvias2.1160,Point,-68.10215496,-16.53447556,geom,3421,5329,C. 8,8,8,Alto Següencoma,c., ,c. 8 (Alto Següencoma)
Feature,ubicacionvias2.1161,Point,-68.07850315,-16.53614854,geom,1211,5334,"Parada, Juan","Parada, Juan",Juan Parada,Achumani,c., ,c. Juan Parada (Achumani)
Feature,ubicacionvias2.1162,Point,-68.04704066,-16.53611736,geom,930,5336,"Cluver Romero, Seferino","Cluver Romero, Seferino",Seferino Cluver Romero,Coqueni,c., ,c. Seferino Cluver Romero (Coqueni)
Feature,ubicacionvias2.1163,Point,-68.10048459,-16.53712481,geom,3761,5339,C. 7,7,7,Alto Següencoma,c., ,c. 7 (Alto Següencoma)
Feature,ubicacionvias2.1164,Point,-68.10011653,-16.5373823,geom,2304,5340,C. 6,6,6,Alto Següencoma,c., ,c. 6 (Alto Següencoma)
Feature,ubicacionvias2.1165,Point,-68.04559805,-16.53764994,geom,1367,5345,"López Gonzales, V.","López Gonzales, Víctor",Sbtte. Res. Víctor López Gonzales (c.22),Chasquipampa,c.,701/2006,c. Sbtte. Res. Víctor López Gonzales (c.22) (Chasquipampa)
Feature,ubicacionvias2.1166,Point,-68.04473248,-16.53667695,geom,1296,5349,"Gutiérrez Lara, Adrián","Gutiérrez Lara, Adrián",Sldo. Adrián Gutiérrez Lara (c. 23),Chasquipampa,c.,701/2006,c. Sldo. Adrián Gutiérrez Lara (c. 23) (Chasquipampa)
Feature,ubicacionvias2.1167,Point,-68.08669641,-16.53204229,geom,80,5351,"Portugal, Rep. de","Portugal, Rep. de",Rep. de Portugal (c. 12),Irpavi,c., ,c. Rep. de Portugal (c. 12) (Irpavi)
Feature,ubicacionvias2.1168,Point,-68.08622396,-16.54275826,geom,12828,5351,"Portugal, Rep. de","Portugal, Rep. de",Rep. de Portugal (c. 12),Calacoto,c., ,c. Rep. de Portugal (c. 12) (Calacoto)
Feature,ubicacionvias2.1169,Point,-68.07849191,-16.52751727,geom,2830,5353,C. 8,8,8,Koani,c., ,c. 8 (Koani)
Feature,ubicacionvias2.1170,Point,-68.07864962,-16.52673097,geom,3446,5355,C. 9,9,9,Koani,c., ,c. 9 (Koani)
Feature,ubicacionvias2.1171,Point,-68.10238114,-16.52500826,geom,7734,5357,"Ávila Villanueva, S.","Ávila Villanueva, Silvia Mercedes",Silvia Mercedes Ávila Villanueva (c. S 4),Obrajes,c.,366/2014,c. Silvia Mercedes Ávila Villanueva (c. S 4) (Obrajes)
Feature,ubicacionvias2.1172,Point,-68.1129257,-16.52247264,geom,7863,5364,"Prieto, Abelardo","Prieto Echalar, Abelardo",Abelardo Prieto Echalar,Obrajes,c.,366/2014,c. Abelardo Prieto Echalar (Obrajes)
Feature,ubicacionvias2.1173,Point,-68.08621777,-16.5281927,geom,12897,5366,"Altamirano, Segundo","Altamirano, Segundo",Segundo Altamirano,Irpavi,av., ,av. Segundo Altamirano (Irpavi)
Feature,ubicacionvias2.1174,Point,-68.0871232,-16.52271947,geom,1640,5366,"Altamirano, Segundo","Altamirano, Segundo",Segundo Altamirano,Irpavi,av., ,av. Segundo Altamirano (Irpavi)
Feature,ubicacionvias2.1175,Point,-68.0632194,-16.52104245,geom,3533,5370,C. 4,4,4,Huantaqui,c., ,c. 4 (Huantaqui)
Feature,ubicacionvias2.1176,Point,-68.10486506,-16.52095992,geom,407,5371,"Lambert, Adolfo","Lambert, Adolfo",Adolfo Lambert,Alto Obrajes,c., ,c. Adolfo Lambert (Alto Obrajes)
Feature,ubicacionvias2.1177,Point,-68.10563532,-16.52114924,geom,255,5373,"Dávila, Hugo","Dávila, Hugo",Hugo Dávila,Alto Obrajes,c., ,c. Hugo Dávila (Alto Obrajes)
Feature,ubicacionvias2.1178,Point,-68.06426889,-16.51947131,geom,3341,5376,C. 30,30,30,Achumani,c., ,c. 30 (Achumani)
Feature,ubicacionvias2.1179,Point,-68.06437627,-16.51891501,geom,7280,5377,C. B,B,B,Achumani,c., ,c. B (Achumani)
Feature,ubicacionvias2.1180,Point,-68.06475904,-16.51975685,geom,538,5378,C. 29-B,29-B,29-B,Achumani,c., ,c. 29-B (Achumani)
Feature,ubicacionvias2.1181,Point,-68.13524164,-16.51341101,geom,246,5390,"Zudáñez, Jaime","Zudáñez, Jaime",Jaime Zudáñez,Sopocachi Alto,c., ,c. Jaime Zudáñez (Sopocachi Alto)
Feature,ubicacionvias2.1182,Point,-68.13542096,-16.51184449,geom,1546,5391,Carandaiti,Carandaiti,Carandaiti,Sopocachi Alto,c., ,c. Carandaiti (Sopocachi Alto)
Feature,ubicacionvias2.1183,Point,-68.13460986,-16.51141544,geom,7687,5392,Vaca Diez,Vaca Diez,Vaca Diez,Sopocachi Alto,c., ,c. Vaca Diez (Sopocachi Alto)
Feature,ubicacionvias2.1184,Point,-68.13375594,-16.51095384,geom,218,5395,Chaco,Chaco,Chaco,Sopocachi Alto,c., ,c. Chaco (Sopocachi Alto)
Feature,ubicacionvias2.1185,Point,-68.10601507,-16.50657108,geom,8821,5423,8 de Septiembre,8 de Septiembre,8 de Septiembre,Villa Litoral,c., ,c. 8 de Septiembre (Villa Litoral)
Feature,ubicacionvias2.1186,Point,-68.13715095,-16.50704276,geom,1379,5424,"Rochdale, Pionero de","Rochdale, Pionero de",Pionero de Rochdale,Bello Horizonte,c., ,c. Pionero de Rochdale (Bello Horizonte)
Feature,ubicacionvias2.1187,Point,-68.15589295,-16.50686256,geom,7994,5425,"Cabrera, Silverio","Cabrera, Silverio",Silverio Cabrera,Alto Sagrado Corazón de Jesús,c., ,c. Silverio Cabrera (Alto Sagrado Corazón de Jesús)
Feature,ubicacionvias2.1188,Point,-68.14169035,-16.50661543,geom,1849,5432,"Urcullo, José María","Urcullo, José María",José María Urcullo,San Pedro Alto,c., ,c. José María Urcullo (San Pedro Alto)
Feature,ubicacionvias2.1189,Point,-68.13347478,-16.50671637,geom,3414,5433,23 de Marzo,23 de Marzo,23 de Marzo,San Pedro,c., ,c. 23 de Marzo (San Pedro)
Feature,ubicacionvias2.1190,Point,-68.14404372,-16.50637053,geom,1608,5437,"Quijarro, Napoleón","Quijarro, Napoleón",Napoleón Quijarro,Villa Nuevo Potosí,c., ,c. Napoleón Quijarro (Villa Nuevo Potosí)
Feature,ubicacionvias2.1191,Point,-68.04648064,-16.50631567,geom,777,5447,Huma Peruant,Huma Peruant,Huma Peruant,Chijipata,av., ,av. Huma Peruant (Chijipata)
Feature,ubicacionvias2.1192,Point,-68.04543997,-16.50602112,geom,3034,5448,C. 10-A,10-A,10-A,Chijipata,c., ,c. 10-A (Chijipata)
Feature,ubicacionvias2.1193,Point,-68.04455456,-16.50630776,geom,3162,5449,C. 15,15,15,Chijipata,c., ,c. 15 (Chijipata)
Feature,ubicacionvias2.1194,Point,-68.04636953,-16.50565153,geom,2670,5450,C. 11,11,11,Chijipata,c., ,c. 11 (Chijipata)
Feature,ubicacionvias2.1195,Point,-68.04776788,-16.50539674,geom,3266,5453,C. 6,6,6,Kellumani,c., ,c. 6 (Kellumani)
Feature,ubicacionvias2.1196,Point,-68.09814854,-16.50671275,geom,7628,5455,Noruega,Noruega,Noruega,Kupini,c., ,c. Noruega (Kupini)
Feature,ubicacionvias2.1197,Point,-68.05167991,-16.5058985,geom,3846,5456,C. 15,15,15,Kellumani,c., ,c. 15 (Kellumani)
Feature,ubicacionvias2.1198,Point,-68.05203444,-16.50620425,geom,2385,5459,C. 14,14,14,Kellumani,c., ,c. 14 (Kellumani)
Feature,ubicacionvias2.1199,Point,-68.08309846,-16.50674935,geom,7464,5462,Aruntaya,Aruntaya,Aruntaya,El Vergel,c., ,c. Aruntaya (El Vergel)
Feature,ubicacionvias2.1200,Point,-68.14828977,-16.50547788,geom,1451,5471,"Pinedo, José","Pinedo, José",José Pinedo,Villa Nuevo Potosí,c., ,c. José Pinedo (Villa Nuevo Potosí)
Feature,ubicacionvias2.1201,Point,-68.09359616,-16.50779426,geom,219,5479,El Sol,El Sol,El Sol,Caliri,av., ,av. El Sol (Caliri)
Feature,ubicacionvias2.1202,Point,-68.10053249,-16.50497576,geom,2074,5480,C. 17,17,17,Pampahasi,c., ,c. 17 (Pampahasi)
Feature,ubicacionvias2.1203,Point,-68.10000554,-16.48916732,geom,3670,5492,Álamos,Álamos,Álamos (c. 1),Villa Salomé,c., ,c. Álamos (c. 1) (Villa Salomé)
Feature,ubicacionvias2.1204,Point,-68.10154699,-16.49588232,geom,3382,5493,C. 6,6,6,Pampahasi,c., ,c. 6 (Pampahasi)
Feature,ubicacionvias2.1205,Point,-68.10086734,-16.49011219,geom,1506,5495,Paraísos,Paraísos,Paraísos,Villa Salomé,c., ,c. Paraísos (Villa Salomé)
Feature,ubicacionvias2.1206,Point,-68.14697909,-16.47542119,geom,3805,5504,C. C,C,C,Alto Vino Tinto,c., ,c. C (Alto Vino Tinto)
Feature,ubicacionvias2.1207,Point,-68.14751448,-16.47471889,geom,2928,5506,C. A,A,A,Alto Vino Tinto,c., ,c. A (Alto Vino Tinto)
Feature,ubicacionvias2.1208,Point,-68.14591131,-16.47493884,geom,3335,5510,C. B,B,B,Alto Vino Tinto,c., ,c. B (Alto Vino Tinto)
Feature,ubicacionvias2.1209,Point,-68.15389161,-16.47302832,geom,3961,5535,Los Pinos,Los Pinos,Los Pinos,Pura Pura,c., ,c. Los Pinos (Pura Pura)
Feature,ubicacionvias2.1210,Point,-68.14947279,-16.47198164,geom,7806,5537,"Rojas, Ramón","Rojas, Ramón",Ramón Rojas,Achachicala,c.,458/2013,c. Ramón Rojas (Achachicala)
Feature,ubicacionvias2.1211,Point,-68.14830379,-16.47041061,geom,14015,5537,"Rojas, Ramón","Rojas, Ramón",Ramón Rojas,Kamirpata,c.,458/2013,c. Ramón Rojas (Kamirpata)
Feature,ubicacionvias2.1212,Point,-68.14847055,-16.47160526,geom,3964,5540,"Carrillo, Crisóstomo","Carrillo, Crisóstomo",Crisóstomo Carrillo,Achachicala,c.,458/2013,c. Crisóstomo Carrillo (Achachicala)
Feature,ubicacionvias2.1213,Point,-68.15001997,-16.47471152,geom,7572,5541,"Saavedra, Juan de","Saavedra, Juan de",Juan de Saavedra,Achachicala,c., ,c. Juan de Saavedra (Achachicala)
Feature,ubicacionvias2.1214,Point,-68.14745624,-16.47337435,geom,519,5562,"Tambillo, Batalla de","Tambillo, Batalla de",Batalla de Tambillo,Achachicala,c., ,c. Batalla de Tambillo (Achachicala)
Feature,ubicacionvias2.1215,Point,-68.16584726,-16.47872969,geom,23,5564,Circunvalación,Circunvalación,Circunvalación,Unión Alianza,av., ,av. Circunvalación (Unión Alianza)
Feature,ubicacionvias2.1216,Point,-68.15037357,-16.47073548,geom,8285,5567,"Lizarazu G., M.","Lizarazu Gómez, Máximo",Máximo Lizarazu Gómez,Achachicala,c.,458/2013,c. Máximo Lizarazu Gómez (Achachicala)
Feature,ubicacionvias2.1217,Point,-68.14665335,-16.46966296,geom,2771,5568,Pj. 3,3,3,Kamirpata,pje., ,pje. 3 (Kamirpata)
Feature,ubicacionvias2.1218,Point,-68.1501596,-16.47126417,geom,8376,5571,"Zapata S., V.","Zapata Serna, Víctor",Víctor Zapana Serna,Achachicala,c.,278/2003,c. Víctor Zapana Serna (Achachicala)
Feature,ubicacionvias2.1219,Point,-68.15504261,-16.47080742,geom,3515,5578,C. 2,2,2,Pura Pura,c., ,c. 2 (Pura Pura)
Feature,ubicacionvias2.1220,Point,-68.15404492,-16.47090192,geom,875,5585,"Gamarra, Manuel","Gamarra, Manuel",Manuel Gamarra,Pura Pura,av., ,av. Manuel Gamarra (Pura Pura)
Feature,ubicacionvias2.1221,Point,-68.15386581,-16.46965881,geom,1144,5586,"Gardel, Carlos","Gardel, Carlos",Carlos Gardel,Pura Pura,c., ,c. Carlos Gardel (Pura Pura)
Feature,ubicacionvias2.1222,Point,-68.14736299,-16.4691822,geom,2147,5605,C. 6,6,6,Kamirpata,c., ,c. 6 (Kamirpata)
Feature,ubicacionvias2.1223,Point,-68.14997725,-16.46639613,geom,1227,5627,"Ramos Gavilán, Alonso","Ramos Gavilán, Alonso",Alonso Ramos,Achachicala,av.,458/2013,av. Alonso Ramos (Achachicala)
Feature,ubicacionvias2.1224,Point,-68.14861697,-16.46324888,geom,3277,5631,C. E,E,E,Achachicala,c., ,c. E (Achachicala)
Feature,ubicacionvias2.1225,Point,-68.15378388,-16.46512781,geom,2529,5637,C. 7,7,7,Pura Pura,c., ,c. 7 (Pura Pura)
Feature,ubicacionvias2.1226,Point,-68.15400205,-16.46567773,geom,2339,5640,C. 6,6,6,Pura Pura,c., ,c. 6 (Pura Pura)
Feature,ubicacionvias2.1227,Point,-68.15321182,-16.46511992,geom,3226,5641,C. 8,8,8,Pura Pura,c., ,c. 8 (Pura Pura)
Feature,ubicacionvias2.1228,Point,-68.14744007,-16.46311707,geom,3545,5644,C. 15,15,15,Achachicala,c., ,c. 15 (Achachicala)
Feature,ubicacionvias2.1229,Point,-68.15443026,-16.46817327,geom,3616,5647,C. 3,3,3,Pura Pura,c., ,c. 3 (Pura Pura)
Feature,ubicacionvias2.1230,Point,-68.15485977,-16.46997006,geom,11218,5647,C. 3,3,3,Pura Pura,c., ,c. 3 (Pura Pura)
Feature,ubicacionvias2.1231,Point,-68.14832303,-16.46443069,geom,3293,5649,C. 11,11,11,Achachicala,c., ,c. 11 (Achachicala)
Feature,ubicacionvias2.1232,Point,-68.15117094,-16.46780988,geom,8641,5650,Carvajal,Carvajal,Carvajal,Achachicala,c., ,c. Carvajal (Achachicala)
Feature,ubicacionvias2.1233,Point,-68.15439809,-16.46634079,geom,2164,5651,C. 4,4,4,Pura Pura,c., ,c. 4 (Pura Pura)
Feature,ubicacionvias2.1234,Point,-68.15459788,-16.46664948,geom,2475,5652,C. 3,3,3,Pura Pura,c., ,c. 3 (Pura Pura)
Feature,ubicacionvias2.1235,Point,-68.1540885,-16.46743263,geom,3870,5653,C. 2,2,2,Pura Pura,c., ,c. 2 (Pura Pura)
Feature,ubicacionvias2.1236,Point,-68.15212042,-16.46650547,geom,3247,5654,C. 9,9,9,Achachicala,c., ,c. 9 (Achachicala)
Feature,ubicacionvias2.1237,Point,-68.15511015,-16.46729191,geom,3869,5655,C. 1,1,1,Pura Pura,c., ,c. 1 (Pura Pura)
Feature,ubicacionvias2.1238,Point,-68.15674399,-16.4661655,geom,3526,5660,C. 15,15,15,Alto Pura Pura,c., ,c. 15 (Alto Pura Pura)
Feature,ubicacionvias2.1239,Point,-68.15036847,-16.46614906,geom,3423,5665,C. 1,1,1,Achachicala,c., ,c. 1 (Achachicala)
Feature,ubicacionvias2.1240,Point,-68.14968324,-16.46478415,geom,3963,5666,C. B,B,B,Achachicala,c., ,c. B (Achachicala)
Feature,ubicacionvias2.1289,Point,-68.12630193,-16.47122887,geom,1308,5913,4 de Enero,4 de Enero,4 de Enero,Alto Las Delicias,c., ,c. 4 de Enero (Alto Las Delicias)
Feature,ubicacionvias2.1241,Point,-68.15038495,-16.4656161,geom,1100,5667,"Guarachi, Sebastián","Guarachi, Sebastián",Sebastián Guarachi,Achachicala,c.,458/2013,c. Sebastián Guarachi (Achachicala)
Feature,ubicacionvias2.1242,Point,-68.15145494,-16.46872859,geom,2289,5668,"Burgos, Saturnino","Burgos, Saturnino",Saturnino Burgos,Achachicala,c., ,c. Saturnino Burgos (Achachicala)
Feature,ubicacionvias2.1243,Point,-68.15413603,-16.4679868,geom,2708,5676,C. 1,1,1,Pura Pura,c., ,c. 1 (Pura Pura)
Feature,ubicacionvias2.1244,Point,-68.15438433,-16.46715709,geom,3573,5677,25 de Julio,25 de Julio,25 de Julio,Pura Pura,av., ,av. 25 de Julio (Pura Pura)
Feature,ubicacionvias2.1245,Point,-68.15680416,-16.46575158,geom,1324,5682,g. 16,16,16,Alto Pura Pura,gradería, ,gradería 16 (Alto Pura Pura)
Feature,ubicacionvias2.1246,Point,-68.15724539,-16.46557837,geom,7320,5683,C. 10,10,10,Alto Pura Pura,c., ,c. 10 (Alto Pura Pura)
Feature,ubicacionvias2.1247,Point,-68.15830287,-16.46352488,geom,3389,5687,C. 8,8,8,Alto Pura Pura,c., ,c. 8 (Alto Pura Pura)
Feature,ubicacionvias2.1248,Point,-68.15644099,-16.46501059,geom,2080,5688,C. A,A,A,Alto Pura Pura,c., ,c. A (Alto Pura Pura)
Feature,ubicacionvias2.1249,Point,-68.15607855,-16.46510482,geom,2083,5689,C. 13,13,13,Alto Pura Pura,c., ,c. 13 (Alto Pura Pura)
Feature,ubicacionvias2.1250,Point,-68.15119932,-16.46616849,geom,2261,5698,Chacaltaya,Chacaltaya,Chacaltaya,Achachicala,av.,458/2013,av. Chacaltaya (Achachicala)
Feature,ubicacionvias2.1251,Point,-68.14995878,-16.47771919,geom,11219,5698,Chacaltaya,Chacaltaya,Chacaltaya,Achachicala,av.,458/2013,av. Chacaltaya (Achachicala)
Feature,ubicacionvias2.1252,Point,-68.14635478,-16.48166666,geom,11220,5698,Chacaltaya,Chacaltaya,Chacaltaya,Vino Tinto,av.,458/2013,av. Chacaltaya (Vino Tinto)
Feature,ubicacionvias2.1253,Point,-68.14860694,-16.46152003,geom,11217,5698,Chacaltaya,Chacaltaya,Chacaltaya,Achachicala,av.,458/2013,av. Chacaltaya (Achachicala)
Feature,ubicacionvias2.1254,Point,-68.14814177,-16.47976681,geom,12840,5698,Chacaltaya,Chacaltaya,Chacaltaya,Vino Tinto,av.,458/2013,av. Chacaltaya (Vino Tinto)
Feature,ubicacionvias2.1255,Point,-68.16659814,-16.46508983,geom,25,5712,Panorámica,Panorámica,Panorámica,Alto Pura Pura,av., ,av. Panorámica (Alto Pura Pura)
Feature,ubicacionvias2.1256,Point,-68.16836571,-16.48160226,geom,11212,5712,Panorámica,Panorámica,Panorámica,Villa Antofagasta,av., ,av. Panorámica (Villa Antofagasta)
Feature,ubicacionvias2.1257,Point,-68.15704084,-16.46121971,geom,3661,5719,Av. 3,3,3,Alto Pura Pura,av., ,av. 3 (Alto Pura Pura)
Feature,ubicacionvias2.1258,Point,-68.1513337,-16.46264829,geom,3344,5724,C. 9,9,9,Pura Pura,c., ,c. 9 (Pura Pura)
Feature,ubicacionvias2.1259,Point,-68.15304973,-16.46262207,geom,8510,5725,Pj. 3,3,3,Ciudadela Ferroviaria,pje., ,pje. 3 (Ciudadela Ferroviaria)
Feature,ubicacionvias2.1260,Point,-68.1575025,-16.46107951,geom,2496,5744,C. 13,13,13,Alto Pura Pura,c., ,c. 13 (Alto Pura Pura)
Feature,ubicacionvias2.1261,Point,-68.15737265,-16.46146565,geom,3170,5745,C. 12,12,12,Alto Pura Pura,c., ,c. 12 (Alto Pura Pura)
Feature,ubicacionvias2.1262,Point,-68.14856937,-16.46830552,geom,60,5757,Tambillo,Tambillo,Tambillo,Kamirpata,c., ,c. Tambillo (Kamirpata)
Feature,ubicacionvias2.1263,Point,-68.14853815,-16.46295127,geom,3679,5759,C. 1,1,1,Achachicala,c., ,c. 1 (Achachicala)
Feature,ubicacionvias2.1264,Point,-68.15349339,-16.46112939,geom,11215,5762,Primavera,Primavera,Primavera,Ciudadela Ferroviaria,c., ,c. Primavera (Ciudadela Ferroviaria)
Feature,ubicacionvias2.1265,Point,-68.150291,-16.45454305,geom,47,5762,Primavera,Primavera,Primavera,Ciudadela Ferroviaria,c., ,c. Primavera (Ciudadela Ferroviaria)
Feature,ubicacionvias2.1266,Point,-68.14794513,-16.46417794,geom,3908,5763,C. 12,12,12,Achachicala,c., ,c. 12 (Achachicala)
Feature,ubicacionvias2.1267,Point,-68.15241284,-16.46157424,geom,1516,5777,El Jardín,El Jardín,El Jardín (c. 2),Ciudadela Ferroviaria,c., ,c. El Jardín (c. 2) (Ciudadela Ferroviaria)
Feature,ubicacionvias2.1268,Point,-68.1617885,-16.46153292,geom,8352,5783,Tiahuanacu,Tiahuanacu,Tiahuanaku,Alto Pura Pura,c.,548/2009,c. Tiahuanaku (Alto Pura Pura)
Feature,ubicacionvias2.1269,Point,-68.16266188,-16.46175883,geom,8784,5784,Tiquina,Tiquina,Tiquina,Alto Pura Pura,c.,548/2009,c. Tiquina (Alto Pura Pura)
Feature,ubicacionvias2.1270,Point,-68.16253923,-16.46093125,geom,8392,5785,Tipuani,Tipuani,Tipuani,Alto Pura Pura,c.,548/2009,c. Tipuani (Alto Pura Pura)
Feature,ubicacionvias2.1271,Point,-68.15761146,-16.46071976,geom,2591,5789,C. 14,14,14,Alto Pura Pura,c., ,c. 14 (Alto Pura Pura)
Feature,ubicacionvias2.1272,Point,-68.16330077,-16.4606738,geom,3633,5790,Corocoro,Corocoro,Corocoro,Alto Pura Pura,c.,548/2009,c. Corocoro (Alto Pura Pura)
