type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/objectid,properties/featureid,properties/TextString,properties/nombalfa,properties/alias,properties/zona,properties/tipovia,properties/om,properties/descripcion
Feature,ubicacionvias2.61,Point,-68.15453708,-16.45413173,geom,7845,272,"Muñecas, Provincia","Muñecas, Provincia",Prov. Muñecas,Alto Ciudadela,c.,459/2013,c. Prov. Muñecas (Alto Ciudadela)
Feature,ubicacionvias2.62,Point,-68.15442969,-16.45181774,geom,1241,273,"Ingavi, Prov.","Ingavi, Provincia",Prov. Ingavi,Alto Ciudadela,c.,459/2013,c. Prov. Ingavi (Alto Ciudadela)
Feature,ubicacionvias2.63,Point,-68.15282447,-16.45304493,geom,3994,274,C. 2,2,2,Alto Ciudadela,c., ,c. 2 (Alto Ciudadela)
Feature,ubicacionvias2.64,Point,-68.15276361,-16.45704102,geom,8472,278,C. LL,LL,LL,Alto Ciudadela,c., ,c. LL (Alto Ciudadela)
Feature,ubicacionvias2.65,Point,-68.15556827,-16.45785306,geom,3085,281,Calama,Calama,Calama,Alto Pura Pura,c.,565/2007,c. Calama (Alto Pura Pura)
Feature,ubicacionvias2.66,Point,-68.15202373,-16.45905497,geom,2789,282,C. 4,4,4,Alto Ciudadela,c., ,c. 4 (Alto Ciudadela)
Feature,ubicacionvias2.67,Point,-68.14635552,-16.45896383,geom,3801,283,C. 14,14,14,Plan Autopista,c.,095/2009,c. 14 (Plan Autopista)
Feature,ubicacionvias2.68,Point,-68.14767224,-16.45934572,geom,2543,284,C. A,A,A,Plan Autopista,c., ,c. A (Plan Autopista)
Feature,ubicacionvias2.69,Point,-68.14594264,-16.45976577,geom,8450,300,Pj. 3,3,3,Plan Autopista,pje., ,pje. 3 (Plan Autopista)
Feature,ubicacionvias2.70,Point,-68.10614195,-16.45905496,geom,2353,304,C. 6,6,6,Chuquiaguillo,c., ,c. 6 (Chuquiaguillo)
Feature,ubicacionvias2.71,Point,-68.10548987,-16.45763085,geom,3653,305,C. 3,3,3,Chuquiaguillo,c., ,c. 3 (Chuquiaguillo)
Feature,ubicacionvias2.72,Point,-68.15805326,-16.48410996,geom,11209,308,Copacabana,Copacabana,Copacabana,Munaypata,c., ,c. Copacabana (Munaypata)
Feature,ubicacionvias2.73,Point,-68.15117101,-16.4846985,geom,3270,314,C. 6,6,6,Pura Pura,c., ,c. 6 (Pura Pura)
Feature,ubicacionvias2.74,Point,-68.14941549,-16.48530041,geom,3438,315,C. 2,2,2,Pura Pura,c., ,c. 2 (Pura Pura)
Feature,ubicacionvias2.75,Point,-68.16313515,-16.48335312,geom,2939,316,Retamas,Retamas,Las Retamas,Alto Munaypata Cusicancha,c., ,c. Las Retamas (Alto Munaypata Cusicancha)
Feature,ubicacionvias2.76,Point,-68.16365151,-16.48325103,geom,8436,317,Panorámica,Panorámica,Panorámica,Alto Munaypata Cusicancha,c., ,c. Panorámica (Alto Munaypata Cusicancha)
Feature,ubicacionvias2.77,Point,-68.16516654,-16.48260468,geom,8299,318,Alto de la Alianza,Alto de la Alianza,Alto de la Alianza,Alto Munaypata Cusicancha,c., ,c. Alto de la Alianza (Alto Munaypata Cusicancha)
Feature,ubicacionvias2.78,Point,-68.16527255,-16.4833524,geom,2664,319,Tocopilla,Tocopilla,Tocopilla,Alto Munaypata Cusicancha,c., ,c. Tocopilla (Alto Munaypata Cusicancha)
Feature,ubicacionvias2.79,Point,-68.16401795,-16.48196089,geom,8460,321,C. H,H,H,Alto Villa Victoria,c., ,c. H (Alto Villa Victoria)
Feature,ubicacionvias2.80,Point,-68.1645659,-16.48179771,geom,973,322,C. 1-G,1-G,1-G,Alto Villa Victoria,c., ,c. 1-G (Alto Villa Victoria)
Feature,ubicacionvias2.436,Point,-68.14331601,-16.51249803,geom,8635,2120,Cj. 14,14,14,Tembladerani,cj., ,cj. 14 (Tembladerani)
Feature,ubicacionvias2.81,Point,-68.16575261,-16.48313736,geom,8502,323,"Cabrera, Ladislao","Cabrera, Ladislao",Ladislao Cabrera,Alto Munaypata Cusicancha,c., ,c. Ladislao Cabrera (Alto Munaypata Cusicancha)
Feature,ubicacionvias2.82,Point,-68.14927858,-16.48906418,geom,792,334,Paucarpata,Paucarpata,Paucarpata,Pura Pura,c., ,c. Paucarpata (Pura Pura)
Feature,ubicacionvias2.83,Point,-68.16423236,-16.48278226,geom,1768,337,Colorado,Colorado,Colorado,Alto Munaypata Cusicancha,c., ,c. Colorado (Alto Munaypata Cusicancha)
Feature,ubicacionvias2.84,Point,-68.16596354,-16.48427756,geom,8785,342,Mejillones,Mejillones,Mejillones,Alto Munaypata Cusicancha,c., ,c. Mejillones (Alto Munaypata Cusicancha)
Feature,ubicacionvias2.85,Point,-68.16584666,-16.4848892,geom,7984,348,Cusi cusi,Cusi cusi,Cusi cusi,Alto Munaypata Cusicancha,c., ,c. Cusi cusi (Alto Munaypata Cusicancha)
Feature,ubicacionvias2.86,Point,-68.17017345,-16.48871183,geom,3175,353,C. 15,15,15,Villa Antofagasta,c., ,c. 15 (Villa Antofagasta)
Feature,ubicacionvias2.87,Point,-68.15843519,-16.48803206,geom,1316,362,San Roque,San Roque,San Roque,Munaypata,c., ,c. San Roque (Munaypata)
Feature,ubicacionvias2.88,Point,-68.14906783,-16.48815391,geom,3238,369,La Paz,La Paz,La Paz,Pura Pura,av., ,av. La Paz (Pura Pura)
Feature,ubicacionvias2.89,Point,-68.14853968,-16.48011355,geom,1934,370,Curtiembre,Curtiembre,Curtiembre,Vino Tinto,c., ,c. Curtiembre (Vino Tinto)
