type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Tipo
Feature,centrosreligiosos.151,Point,-68.13288194,-16.49915282,Shape,Iglesia San Juan de Dios,Iglesia
Feature,centrosreligiosos.152,Point,-68.13430478,-16.4981781,Shape,Iglesia San Agustín,Iglesia
Feature,centrosreligiosos.153,Point,-68.1323898,-16.49701716,Shape,Iglesia La Merced,Iglesia
Feature,centrosreligiosos.154,Point,-68.13212627,-16.49617185,Shape,Iglesia Virgen del Carmen,Iglesia
Feature,centrosreligiosos.155,Point,-68.14029594,-16.4952984,Shape,Parroquia El Rosario,Iglesia
Feature,centrosreligiosos.156,Point,-68.13763223,-16.4962809,Shape,Antigua Catedral de San Francisco,Iglesia
Feature,centrosreligiosos.157,Point,-68.1345236,-16.49444011,Shape,Iglesia Santo Domingo,Iglesia
Feature,centrosreligiosos.158,Point,-68.13498407,-16.49275381,Shape,Iglesia San Calixto,Iglesia
Feature,centrosreligiosos.159,Point,-68.1388258,-16.49305951,Shape,Iglesia San Sebastán,Iglesia
Feature,centrosreligiosos.160,Point,-68.14012963,-16.49304826,Shape,Iglesia La Recoleta,Iglesia
Feature,centrosreligiosos.161,Point,-68.14548108,-16.4963086,Shape,Capilla Señor de la Exaltación,Iglesia
Feature,centrosreligiosos.162,Point,-68.11119704,-16.49936458,Shape,Parroquia San Antonio,Iglesia
Feature,centrosreligiosos.163,Point,-68.1162416,-16.49735067,Shape,Parroquia Católica,Templos
Feature,centrosreligiosos.164,Point,-68.1174514,-16.49078856,Shape,Iglesia Ntra. Sra. De Copacabana,Iglesia
Feature,centrosreligiosos.165,Point,-68.12258019,-16.49755901,Shape,Iglesia Católica Virgen,Iglesia
Feature,centrosreligiosos.166,Point,-68.12781562,-16.49499991,Shape,Iglesia San Pedro Nolasco,Iglesia
Feature,centrosreligiosos.167,Point,-68.12073643,-16.49170747,Shape,Iglesia Pompeya,Iglesia
Feature,centrosreligiosos.168,Point,-68.12262531,-16.48580946,Shape,Capilla Señor de Malta,Iglesia
Feature,centrosreligiosos.169,Point,-68.13542042,-16.48654263,Shape,Iglesia Señor de la Santa Cruz,Iglesia
Feature,centrosreligiosos.170,Point,-68.14360468,-16.48584157,Shape,Misioneros Oblatos de Maria Inmaculada,Templos
Feature,centrosreligiosos.171,Point,-68.14309479,-16.48549679,Shape,Iglesia  Cristo Obrero,Iglesia
Feature,centrosreligiosos.172,Point,-68.16062564,-16.49071466,Shape,Parroquia Apostol Santiago Munaypata,Templos
Feature,centrosreligiosos.173,Point,-68.15309991,-16.48989129,Shape,Iglesia Asunción,Iglesia
Feature,centrosreligiosos.174,Point,-68.15556987,-16.4880915,Shape,Iglesia El Rosario,Iglesia
Feature,centrosreligiosos.175,Point,-68.15086261,-16.48365438,Shape,Parroquia Santa Maria de Dios,Templos
Feature,centrosreligiosos.176,Point,-68.15720964,-16.48447812,Shape,Iglesia Virgen del Carmen,Iglesia
Feature,centrosreligiosos.177,Point,-68.16270133,-16.4856049,Shape,Iglesia Maria Auxiliadora,Iglesia
Feature,centrosreligiosos.178,Point,-68.16768114,-16.48636082,Shape,Iglesia Apostol Santiago,Iglesia
Feature,centrosreligiosos.179,Point,-68.14399088,-16.47987911,Shape,Iglesia Señor de la Exaltación,Iglesia
Feature,centrosreligiosos.180,Point,-68.12063121,-16.4756865,Shape,Parroquia Ntra. Sra. De Fátima,Iglesia
Feature,centrosreligiosos.181,Point,-68.1126729,-16.46853515,Shape,Parroquia Cristo Redentor,Templos
Feature,centrosreligiosos.182,Point,-68.15099438,-16.47181409,Shape,Parroquia Virgen de las Nieves,Iglesia
Feature,centrosreligiosos.183,Point,-68.14615722,-16.46101314,Shape,Iglesia Familia de Nazareth,Iglesia
Feature,centrosreligiosos.184,Point,-68.10253874,-16.45900661,Shape,Iglesia San Antonio de Padua,Iglesia
Feature,centrosreligiosos.185,Point,-68.15282447,-16.44122609,Shape,Iglesia Nuestra Señora de La Paz,Iglesia
Feature,centrosreligiosos.186,Point,-68.13415053,-16.49631586,Shape,Catedral de Nuestra Señora de La Paz,Iglesia
Feature,centrosreligiosos.187,Point,-68.12123936,-16.5009729,Shape,Iglesia Adventista del Séptimo Día,Iglesia
Feature,centrosreligiosos.188,Point,-68.12059571,-16.50076346,Shape,Parroquia Corazón de María,Iglesia
Feature,centrosreligiosos.189,Point,-68.08650186,-16.51485534,Shape,Iglesia de los Santos de los Ultimos Días,Iglesia
Feature,centrosreligiosos.190,Point,-68.14026955,-16.50339563,Shape,Iglesia de Jesucristo de los Santos de los Ultimos,Iglesia
Feature,centrosreligiosos.191,Point,-68.09945993,-16.53564312,Shape,Iglesia de Jesucristo de los Santos de los Ultimos,Iglesia
Feature,centrosreligiosos.192,Point,-68.12137812,-16.48802475,Shape,Iglesia Luterana El Redentor,Iglesia
Feature,centrosreligiosos.193,Point,-68.13413323,-16.49864551,Shape,Iglesia Evangélica Camacho,Iglesia
Feature,centrosreligiosos.194,Point,-68.13184227,-16.50549772,Shape,Iglesia Evangélica Metodista La Reforma,Iglesia
Feature,centrosreligiosos.195,Point,-68.13205275,-16.50498717,Shape,Asociación Cristianos de Jovenes,Capilla
Feature,centrosreligiosos.196,Point,-68.13150049,-16.51226006,Shape,Salon del Reino de Los Testigos de Jehová,Templos
Feature,centrosreligiosos.197,Point,-68.13240693,-16.50775615,Shape,Iglesia Metodista de Bolivia,Iglesia
Feature,centrosreligiosos.198,Point,-68.14238569,-16.51043404,Shape,Iglesia del Nazareno Winchester,Iglesia
Feature,centrosreligiosos.199,Point,-68.14205513,-16.51305871,Shape,Iglesia Evangélica Metodista San Pedro,Iglesia
Feature,centrosreligiosos.200,Point,-68.12868974,-16.50981538,Shape,Iglesia Evangélica Luterana Alemana,Iglesia
Feature,centrosreligiosos.201,Point,-68.1509867,-16.46878747,Shape,Iglesia León de Judá,Iglesia
Feature,centrosreligiosos.202,Point,-68.15706817,-16.48671082,Shape,Capilla San Juan Matias,Capilla
Feature,centrosreligiosos.203,Point,-68.16595822,-16.48960929,Shape,Iglesia Virgen de Copacabana,Iglesia
Feature,centrosreligiosos.204,Point,-68.14164362,-16.48708247,Shape,Iglesia del Nazareno,Iglesia
Feature,centrosreligiosos.205,Point,-68.14411376,-16.49624917,Shape,Iglesia Jesús,Iglesia
Feature,centrosreligiosos.206,Point,-68.14695107,-16.50709979,Shape,Iglesia Belén,Iglesia
Feature,centrosreligiosos.207,Point,-68.07370124,-16.52187526,Shape,Iglesia Bautista Emanuel,Iglesia
Feature,centrosreligiosos.208,Point,-68.08492659,-16.52641968,Shape,Iglesia de Jesucristo de los Santos de los Ultimos,Iglesia
Feature,centrosreligiosos.209,Point,-68.0967843,-16.5326545,Shape,Iglesia Peniel,Iglesia
Feature,centrosreligiosos.210,Point,-68.09461092,-16.53153899,Shape,Iglesia de Jesucristo de los Santos de los Ultimos,Iglesia
Feature,centrosreligiosos.211,Point,-68.09407174,-16.53447091,Shape,Iglesia Asamblea de Dios,Iglesia
Feature,centrosreligiosos.212,Point,-68.09440553,-16.53440942,Shape,Iglesia Angelicana,Iglesia
