type,id,geometry,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/Tipo,properties/ActividadEconomica,properties/MacroDistrito,properties/DistritoChar,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,agenciasviajes.59,,geom,Ernie Travel,C. 2 Tarabillo #21,SANTA ROSA,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,PERIFERICA,DISTRITO 12,12,,brenda.zuniga,2016-06-06T19:09:11.317Z,,,,
Feature,agenciasviajes.60,,geom,A & D group S.R.L.,C. Mariscal Santa Cruz #265,ROSARIO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-06T19:09:51.620Z,,,,
Feature,agenciasviajes.61,,geom,BCD Travel,C. Gabriel Rene Moreno #1072,SAN MIGUEL,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,SUR,DISTRITO 19,18,,brenda.zuniga,2016-06-06T19:30:27.050Z,,Point,-68.07985864,-16.54344003
Feature,agenciasviajes.62,,geom,Breze High,C. Linares #837,ROSARIO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-06T19:33:55.563Z,,,,
Feature,agenciasviajes.63,,geom,Fluvial Tours,C. Illampu #670,ROSARIO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-06T19:36:08.763Z,,,,
Feature,agenciasviajes.64,,geom,Honney Tours,C. Comercio #1431,CENTRAL,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-06T19:57:46.130Z,,Point,-68.13153124,-16.49730022
Feature,agenciasviajes.65,,geom,Servimaster Tours S.R.L.,C. Sagárnaga #271 A,ROSARIO(COTAHUMA),Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-06T20:46:13.493Z,,Point,-68.13806912,-16.49773076
Feature,agenciasviajes.66,,geom,Sankayu Giant Adventures,C. Evaristo Valle #235,SAN SEBASTIAN,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,0,,brenda.zuniga,2016-06-06T20:04:22.430Z,,,,
Feature,agenciasviajes.67,,geom,Terra Andina Bolivia S.R.L.,Av. Ecuador #2682,SOPOCACHI,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 3,3,,brenda.zuniga,2016-06-06T20:19:28.847Z,El anterior nombre ORGANIZACION DE VIAJES es la denominación del rubro para el sistema de registro de licencia de funcionamiento el nombre de la empresa es TERRA ANDINA BOLIVIA S.R.L.,Point,-68.12847739,-16.51342326
Feature,agenciasviajes.68,,geom,Servimaster Tours S.R.L.,C. Linares #947,ROSARIO(COTAHUMA),Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-06T20:38:10.043Z,SUCURSAL Nº 2,Point,-68.13819678,-16.49733772
Feature,agenciasviajes.69,,geom,Discover the World marketing bolivia Ltda.,Av. Sanchez Bustamante #7979,CALACOTO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,SUR,DISTRITO 19,19,,brenda.zuniga,2016-06-06T20:55:53.327Z,DTWMB : DISCOVER THE WORLD MARKETING BOLIVIA LTDA.,Point,-68.09039375,-16.54177581
Feature,agenciasviajes.70,,geom,Catacora Tour,C. Pucarani #161,SAN SEBASTIAN,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-06T21:16:22.953Z,,Point,-68.14119013,-16.49114711
Feature,agenciasviajes.71,,geom,Sacred Lake Travel & Tours,Av. Ecuador #2496 Edif. San Felipe  Esq. Belisario Salinas,SOPOCACHI,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 3,3,,brenda.zuniga,2016-06-06T23:33:53.720Z,,Point,-68.12951559,-16.51241521
Feature,agenciasviajes.72,,geom,Mayl Tours Ltda.,C. Loayza #147  Edif.  Paulinas Piso Pb Of. 147,CENTRAL,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-06T23:34:04.460Z,AGENCIA DE VIAJES Y TURISMO,Point,-68.13370393,-16.49969773
Feature,agenciasviajes.73,,geom,Thaki S.R.L.,C. Chaco #738,SOPOCACHI,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 3,3,,brenda.zuniga,2016-06-06T23:34:58.927Z,,,,
Feature,agenciasviajes.74,,geom,Mania Tours y Consultoria,C. Sagárnaga #173,ROSARIO(COTAHUMA),Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-06T23:38:03.127Z,,,,
