Nombre,Latitud,Longitud,Tipo
Ironcollo,-17.353241,-66.287256,Merercado zonal
Mercado Colcapirhua,-17.390211,-66.244173,Mercado central
Mercado zonal Capacachi,-17.387045,-66.220598,Mercado zonal
Callajchuypa,-17.354007,-66.242358,Mercado zonal
Feria dominical,-17.338155,-66.221165,Mercado zonal
27 De Noviembre Villa Satelite,-17.33276,-66.195522,Mercado zonal
24 De Junio Max Fernandez,-17.329052,-66.202251,Mercado zonal
Feria dominical Trojes,-17.345452,-66.20387,Mercado zonal
17 De Octubre Ciudad Del Niño,-17.346317,-66.193558,Mercado zonal
Temporal,-17.358879,-66.171872,Mercado zonal
Feria Dominical Guadalupe,-17.3515,-66.182097,Mercado zonal
Taquiña,-17.350163,-66.185433,Mercado zonal
Villa Taquiña,-17.344513,-66.1767,Mercado zonal
Feria dominical,-17.342044,-66.179182,Mercado zonal
Cruce Taquiña,-17.356744,-66.188116,Mercado zonal
Calampampa,-17.357315,-66.184994,Mercado zonal
Los Alamos,-17.370885,-66.185652,Mercado zonal
Sarco,-17.37343,-66.19152,Mercado zonal
Feria Thunupa,-17.379067,-66.188426,Mercado zonal
Coraca,-17.398012,-66.186979,Mercado zonal
Pampa grande,-17.398067,-66.178581,Mercado zonal
Feria Miercoles Villa Loreto,-17.421108,-66.157441,Mercado zonal
Ferial Miercoles Kanata,-17.413707,-66.158799,Mercado zonal
Santa Bárbara,-17.428427,-66.156129,Mercado central
Mercado dominical Humberto Asin,-17.442313,-66.116507,Mercado zonal
